sku,mpn,name,product_websites,attribute_set_code,product_type,storage,condition,categories,price,qty,is_in_stock,description,short_description,weight,visibility,tax_class_name,meta_title,meta_description,meta_keyword,image,small_image,thumbnail,brand,processor_cores,processor_clock_speed,processor_socket,errors
btd-007501,SR0PN-06,SR0PN-06 Lenovo 3.10GHz 5.00GT/s DMI 8MB L3 Cache Intel Core i7-3770S Quad Core Desktop Processor Upgrade,base,Default,simple,,Used,Default Category/CPUs/CPU By Brand/Lenovo CPU,93.90,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> SR0PN-06</li><li><strong>Processor Type :</strong> Desktop</li><li><strong>Series :</strong> Core i7 Desktop</li><li><strong>Core Model Type/ProcNo. :</strong> i7-3770S</li><li><strong>Processor Code Name :</strong> Ivy Bridge</li><li><strong>Core Stepping :</strong> E1</li><li><strong>Manufacturing Technology :</strong> 22 nm</li><li><strong># of Cores :</strong> 4</li><li><strong># of Threads :</strong> 8</li><li><strong>Clock Speed :</strong> 3.10 GHz</li><li><strong>L3 Cache Size :</strong> 8 MB</li><li><strong>Front Side Bus / QuickPath Interconnect :</strong> 5.00 GT/s</li><li><strong>Thermal Power :</strong> 65 Watts</li><li><strong>CPU Socket Type :</strong> LGA 1155</li></ul>",<ul> <li><strong>Part No. :</strong> SR0PN-06</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 4-Core</li> ,,"Catalog, Search",Taxable Goods,SR0PN-06 Lenovo 3.10GHz 5.00GT/s DMI 8MB L3 Cache Intel Core i7-3770S Quad Core Desktop Processor Upgrade,,,btd-007501.jpeg,btd-007501.jpeg,btd-007501.jpeg,Intel,4-Core,3.10 GHz,LGA 1155,
btd-007502,4XG0F28792,4XG0F28792 Lenovo 2.60GHz 9.60GT/s QPI 35MB L3 Cache Intel Xeon E5-2697 v3 14 Core Processor Upgrade for ThinkServer RD550,base,Default,simple,,Used,Default Category/CPUs/CPU By Brand/Lenovo CPU,2081.36,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> 4XG0F28792</li><li><strong>Processor Type :</strong> Server</li><li><strong>Processor Family :</strong> E5-2600 v3</li><li><strong>Series :</strong> Xeon Processor</li><li><strong>Core Model Type/ProcNo. :</strong> E5-2697 v3</li><li><strong>Processor Code Name :</strong> Haswell</li><li><strong>Core Stepping :</strong> C0</li><li><strong>Manufacturing Technology :</strong> 22 nm</li><li><strong>CPU ID String :</strong> 306F2</li><li><strong># of Cores :</strong> 14</li><li><strong># of Threads :</strong> 28</li><li><strong>Clock Speed :</strong> 2.60 GHz</li><li><strong>L3 Cache Size :</strong> 35 MB</li><li><strong>Front Side Bus / QuickPath Interconnect :</strong> 9.60 GT/s QPI</li><li><strong>Thermal Power :</strong> 145 Watts</li><li><strong>VID Voltage Range :</strong> 0.65Vâ€“1.30V</li><li><strong>CPU Socket Type :</strong> LGA 2011-3</li><li><strong>Product Condition :</strong> OEM</li><li><strong>Standard Warranty :</strong> 21 days</li></ul>",<ul> <li><strong>Part No. :</strong> 4XG0F28792</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 14-Core</li> ,,"Catalog, Search",Taxable Goods,4XG0F28792 Lenovo 2.60GHz 9.60GT/s QPI 35MB L3 Cache Intel Xeon E5-2697 v3 14 Core Processor Upgrade for ThinkServer RD550,,,btd-007502.jpeg,btd-007502.jpeg,btd-007502.jpeg,Intel,14-Core,2.60 GHz,LGA 2011-3,
btd-007503,03T7163,03T7163 Lenovo 3.40GHz 5.00GT/s DMI2 6MB L3 Cache Intel Core i5-4670 Quad Core Desktop Processor Upgrade,base,Default,simple,,Used,Default Category/CPUs/CPU By Brand/Lenovo CPU,95.16,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> 03T7163</li><li><strong>Processor Type :</strong> Desktop</li><li><strong>Series :</strong> Core i7 Desktop</li><li><strong>Core Model Type/ProcNo. :</strong> i5-4670</li><li><strong>Processor Code Name :</strong> Haswell</li><li><strong>Core Stepping :</strong> C0</li><li><strong>Manufacturing Technology :</strong> 22 nm</li><li><strong># of Cores :</strong> 4</li><li><strong># of Threads :</strong> 4</li><li><strong>Clock Speed :</strong> 3.40 GHz</li><li><strong>L3 Cache Size :</strong> 6 MB</li><li><strong>Thermal Power :</strong> 84 Watts</li><li><strong>CPU Socket Type :</strong> LGA 1150</li></ul>",<ul> <li><strong>Part No. :</strong> 03T7163</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 4-Core</li> ,,"Catalog, Search",Taxable Goods,03T7163 Lenovo 3.40GHz 5.00GT/s DMI2 6MB L3 Cache Intel Core i5-4670 Quad Core Desktop Processor Upgrade,,,btd-007503.jpeg,btd-007503.jpeg,btd-007503.jpeg,Intel,4-Core,3.40 GHz,LGA 1150,
btd-007504,04W4097,04W4097 Lenovo 2.30GHz 5.00GT/s DMI 2MB L3 Cache Socket FCPGA988 Intel Pentium B970 Dual Core Mobile Processor Upgrade,base,Default,simple,,Used,Default Category/CPUs/CPU By Brand/Lenovo CPU,134.54,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> 04W4097</li><li><strong>Processor Type :</strong> Mobile</li><li><strong>Series :</strong> Pentium</li><li><strong>Core Model Type/ProcNo. :</strong> B970</li><li><strong>Processor Code Name :</strong> Sandy Bridge</li><li><strong>Core Stepping :</strong> Q0</li><li><strong>Manufacturing Technology :</strong> 32 nm</li><li><strong># of Cores :</strong> 2</li><li><strong># of Threads :</strong> 2</li><li><strong>Clock Speed :</strong> 2.30 GHz</li><li><strong>L3 Cache Size :</strong> 2 MB</li><li><strong>Front Side Bus / QuickPath Interconnect :</strong> 5.00 GT/s</li><li><strong>Thermal Power :</strong> 35 Watts</li><li><strong>CPU Socket Type :</strong> PGA 988</li></ul>",<ul> <li><strong>Part No. :</strong> 04W4097</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 2-Core</li> ,,"Catalog, Search",Taxable Goods,04W4097 Lenovo 2.30GHz 5.00GT/s DMI 2MB L3 Cache Socket FCPGA988 Intel Pentium B970 Dual Core Mobile Processor Upgrade,,,btd-007504.jpeg,btd-007504.jpeg,btd-007504.jpeg,Intel,2-Core,2.30 GHz,PGA 988,
btd-007505,03T8012,03T8012 Lenovo 3.40GHz 5.00GT/s DMI 8MB L3 Cache Intel Core i7-2600 Quad Core Desktop Processor Upgrade for ThinkCentre Edge 92 (Small Form Factor),base,Default,simple,,Used,Default Category/CPUs/CPU By Brand/Lenovo CPU,116.33,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> 03T8012</li><li><strong>Processor Type :</strong> Desktop</li><li><strong>Series :</strong> Core i7 Desktop</li><li><strong>Core Model Type/ProcNo. :</strong> i7-2600</li><li><strong>Processor Code Name :</strong> Sandy Bridge</li><li><strong>Core Stepping :</strong> D2</li><li><strong># of Cores :</strong> 4</li><li><strong># of Threads :</strong> 8</li><li><strong>Clock Speed :</strong> 3.40 GHz</li><li><strong>L3 Cache Size :</strong> 8 MB</li><li><strong>Front Side Bus / QuickPath Interconnect :</strong> 5.00 GT/s</li><li><strong>Thermal Power :</strong> 95 Watts</li><li><strong>CPU Socket Type :</strong> LGA 1155</li></ul>",<ul> <li><strong>Part No. :</strong> 03T8012</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 4-Core</li> ,,"Catalog, Search",Taxable Goods,03T8012 Lenovo 3.40GHz 5.00GT/s DMI 8MB L3 Cache Intel Core i7-2600 Quad Core Desktop Processor Upgrade for ThinkCentre Edge 92 (Small Form Factor),,,btd-007505.jpeg,btd-007505.jpeg,btd-007505.jpeg,Intel,4-Core,3.40 GHz,LGA 1155,
btd-007506,53Y9049-06,53Y9049-06 Lenovo 2.60GHz 800MHz FSB 2MB L2 Cache Intel Pentium E5300 Dual Core Processor Upgrade,base,Default,simple,,Used,Default Category/CPUs/CPU By Brand/Lenovo CPU,95.07,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> 53Y9049-06</li><li><strong>Processor Type :</strong> Desktop</li><li><strong>Series :</strong> Pentium Dual-Core</li><li><strong>Core Model Type/ProcNo. :</strong> E5300</li><li><strong>Processor Code Name :</strong> Wolfdale</li><li><strong>Core Stepping :</strong> R0</li><li><strong>Manufacturing Technology :</strong> 45 nm</li><li><strong>CPU ID String :</strong> 1067Ah</li><li><strong># of Cores :</strong> 2</li><li><strong>Clock Speed :</strong> 2.60 GHz</li><li><strong>L2 Cache Size :</strong> 2 MB</li><li><strong>Front Side Bus / QuickPath Interconnect :</strong> 800 MHz</li><li><strong>Thermal Power :</strong> 65 Watts</li><li><strong>VID Voltage Range :</strong> 0.85V - 1.3625V</li><li><strong>CPU Socket Type :</strong> LGA 775</li></ul>",<ul> <li><strong>Part No. :</strong> 53Y9049-06</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 2-Core</li> ,,"Catalog, Search",Taxable Goods,53Y9049-06 Lenovo 2.60GHz 800MHz FSB 2MB L2 Cache Intel Pentium E5300 Dual Core Processor Upgrade,,,btd-007506.jpeg,btd-007506.jpeg,btd-007506.jpeg,Intel,2-Core,2.60 GHz,LGA 775,
btd-007507,42W8194-06,42W8194-06 Lenovo 2.53GHz 1066MHz FSB 3MB L2 Cache Intel Core 2 Duo P8700 Mobile Processor Upgrade,base,Default,simple,,Used,Default Category/CPUs/CPU By Brand/Lenovo CPU,81.44,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> 42W8194-06</li><li><strong>Processor Type :</strong> Mobile</li><li><strong>Processor Family :</strong> Intel Core Processor</li><li><strong>Series :</strong> Core2 Duo Mobile Processor</li><li><strong>Core Model Type/ProcNo. :</strong> P8700</li><li><strong>Processor Code Name :</strong> Penryn</li><li><strong>Core Stepping :</strong> R0</li><li><strong>Manufacturing Technology :</strong> 45 nm</li><li><strong>CPU ID String :</strong> 1067A</li><li><strong># of Cores :</strong> 2</li><li><strong># of Threads :</strong> 2</li><li><strong>Clock Speed :</strong> 2.53 GHz</li><li><strong>L2 Cache Size :</strong> 3 MB</li><li><strong>Front Side Bus / QuickPath Interconnect :</strong> 1066 MHz</li><li><strong>Thermal Power :</strong> 25 Watts</li><li><strong>VID Voltage Range :</strong> 1.00V - 1.25V</li><li><strong>CPU Socket Type :</strong> PGA 478</li><li><strong>Product Condition :</strong> OEM</li><li><strong>Standard Warranty :</strong> 21 days</li></ul>",<ul> <li><strong>Part No. :</strong> 42W8194-06</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 2-Core</li> ,,"Catalog, Search",Taxable Goods,42W8194-06 Lenovo 2.53GHz 1066MHz FSB 3MB L2 Cache Intel Core 2 Duo P8700 Mobile Processor Upgrade,,,btd-007507.jpeg,btd-007507.jpeg,btd-007507.jpeg,Intel,2-Core,2.53 GHz,PGA 478,
btd-007508,41X1427-06,41X1427-06 Lenovo 2.60GHz 1MB L2 Cache AMD Athlon 64 X2 5000+ Dual Core Processor Upgrade,base,Default,simple,,Used,Default Category/CPUs/CPU By Brand/Lenovo CPU,170.04,1,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Lenovo</li><li><strong>Manufacturer Part # :</strong> 41X1427-06</li></ul>",<ul> <li><strong>Part No. :</strong> 41X1427-06</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Lenovo</li> <li><strong>Processor Cores :</strong> 2-Core</li> ,,"Catalog, Search",Taxable Goods,41X1427-06 Lenovo 2.60GHz 1MB L2 Cache AMD Athlon 64 X2 5000+ Dual Core Processor Upgrade,,,btd-007508.jpeg,btd-007508.jpeg,btd-007508.jpeg,Lenovo,2-Core,,,
btd-007509,04W3461,04W3461 Lenovo 2.8GHz 5.00GT/s DMI 4MB L3 Cache Socket PPGA988 Intel Core i7-2640M Dual Core Mobile Processor Upgrade for E49 Notebook,base,Default,simple,,Used,Default Category/CPUs/CPU By Brand/Lenovo CPU,81.44,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> 04W3461</li><li><strong>Processor Type :</strong> Mobile</li><li><strong>Series :</strong> Core i7 Mobile</li><li><strong>Core Model Type/ProcNo. :</strong> i7-2640M</li><li><strong>Processor Code Name :</strong> Sandy Bridge</li><li><strong>Core Stepping :</strong> J1</li><li><strong>Manufacturing Technology :</strong> 32 nm</li><li><strong>CPU ID String :</strong> 206A7</li><li><strong># of Cores :</strong> 2</li><li><strong># of Threads :</strong> 4</li><li><strong>Clock Speed :</strong> 2.80 GHz</li><li><strong>L3 Cache Size :</strong> 4 MB</li><li><strong>Front Side Bus / QuickPath Interconnect :</strong> 5.00 GT/s</li><li><strong>Thermal Power :</strong> 35 Watts</li><li><strong>CPU Socket Type :</strong> PGA 988</li><li><strong>Product Condition :</strong> OEM</li><li><strong>Standard Warranty :</strong> 21 days</li></ul>",<ul> <li><strong>Part No. :</strong> 04W3461</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 2-Core</li> ,,"Catalog, Search",Taxable Goods,04W3461 Lenovo 2.8GHz 5.00GT/s DMI 4MB L3 Cache Socket PPGA988 Intel Core i7-2640M Dual Core Mobile Processor Upgrade for E49 Notebook,,,btd-007509.jpeg,btd-007509.jpeg,btd-007509.jpeg,Intel,2-Core,2.80 GHz,PGA 988,
btd-007510,03T6573,03T6573 Lenovo 2.90GHz 5.00GT/s DMI 6MB L3 Cache Intel Core i5-3470S Quad Core Processor Upgrade for 62 Desktop,base,Default,simple,,Used,Default Category/CPUs/CPU By Brand/Lenovo CPU,212.52,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> 03T6573</li><li><strong>Processor Type :</strong> Desktop</li><li><strong>Series :</strong> Core i5 Desktop</li><li><strong>Core Model Type/ProcNo. :</strong> i5-3470S</li><li><strong>Processor Code Name :</strong> Ivy Bridge</li><li><strong>Core Stepping :</strong> N0</li><li><strong>Manufacturing Technology :</strong> 22 nm</li><li><strong># of Cores :</strong> 4</li><li><strong># of Threads :</strong> 4</li><li><strong>Clock Speed :</strong> 2.90 GHz</li><li><strong>L3 Cache Size :</strong> 6 MB</li><li><strong>Front Side Bus / QuickPath Interconnect :</strong> 5.00 GT/s</li><li><strong>Thermal Power :</strong> 22 Watts</li><li><strong>CPU Socket Type :</strong> LGA 1155</li></ul>",<ul> <li><strong>Part No. :</strong> 03T6573</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 4-Core</li> ,,"Catalog, Search",Taxable Goods,03T6573 Lenovo 2.90GHz 5.00GT/s DMI 6MB L3 Cache Intel Core i5-3470S Quad Core Processor Upgrade for 62 Desktop,,,btd-007510.jpeg,btd-007510.jpeg,btd-007510.jpeg,Intel,4-Core,2.90 GHz,LGA 1155,
