sku,mpn,name,product_websites,attribute_set_code,product_type,storage,condition,categories,price,qty,is_in_stock,description,short_description,weight,visibility,tax_class_name,meta_title,meta_description,meta_keyword,image,small_image,thumbnail,brand,processor_cores,processor_clock_speed,processor_socket,errors
btd-002501,Gold 6262,Gold 6262 Intel Xeon Gold 24-Core 1.90GHz 10.40GT/s UPI 33MB L3 Cache Socket LGA 3647 Processor Gold6262,base,Default,simple,,Used,Default Category/CPUs/CPU By Socket/Intel/LGA 3647,428.12,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> Gold 6262</li><li><strong>Processor Type :</strong> Server</li><li><strong>Series :</strong> Xeon Gold Processor</li><li><strong>Core Model Type/ProcNo. :</strong> 6262</li><li><strong>Processor Code Name :</strong> Cascade Lake</li><li><strong>Manufacturing Technology :</strong> 14 nm</li><li><strong># of Cores :</strong> 24</li><li><strong># of Threads :</strong> 48</li><li><strong>Clock Speed :</strong> 1.90 GHz</li><li><strong>Max Turbo Frequency :</strong> 3.60 GHz</li><li><strong>L3 Cache Size :</strong> 33 MB</li><li><strong># of UPI Links :</strong> 2</li><li><strong>Thermal Power :</strong> 135 Watts</li><li><strong>Max Memory Size :</strong> 1 TB</li><li><strong>Memory Types :</strong> DDR4-2400</li><li><strong>Maximum Memory Speed :</strong> 2400 MHz</li><li><strong>Memory Channels :</strong> 6</li><li><strong>ECC Memory Supported :</strong> Yes</li><li><strong>Intel Optane DC Persistent Memory Supported :</strong> Yes</li><li><strong>CPU Socket Type :</strong> LGA 3647</li><li><strong>Package Size :</strong> 76.0mm x 56.5mm</li><li><strong>TCASE :</strong> 91 Â°C</li><li><strong>Embedded Options Available :</strong> No</li><li><strong>Scalability :</strong> 2S</li><li><strong>PCI Express :</strong> 3.0</li><li><strong>Max # of PCI Express Lanes :</strong> 48</li><li><strong>Advanced Technologies :</strong> Enhanced Intel SpeedStep TechnologyInstruction Set 64-bitIntel 64Intel Deep Learning Boost (Intel DL Boost)Intel Resource Director Technology (Intel RDT)Intel Speed Shift TechnologyIntel Turbo Boost Technology 2.0Intel Virtualization Technology (VT-x)Intel Virtualization Technology for Directed I/O (VT-d)Intel Volume Management Device (VMD)Intel VT-x with Extended Page Tables (EPT)</li><li><strong># of AVX-512 FMA Units :</strong> 2</li><li><strong>Instruction Set Extensions :</strong> IntelÂ® SSE4.2, IntelÂ® AVX, IntelÂ® AVX2, IntelÂ® AVX-512</li><li><strong>Security & Reliability :</strong> Execute Disable BitIntel AES New InstructionsIntel Run Sure TechnologyIntel Trusted Execution TechnologyMode-based Execute Control (MBE)</li><li><strong>Product Condition :</strong> OEM</li><li><strong>Standard Warranty :</strong> 21 days</li></ul>",<ul> <li><strong>Part No. :</strong> Gold 6262</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 24-Core</li> ,,"Catalog, Search",Taxable Goods,Gold 6262 Intel Xeon Gold 24-Core 1.90GHz 10.40GT/s UPI 33MB L3 Cache Socket LGA 3647 Processor Gold6262,,,btd-002501.jpeg,btd-002501.jpeg,btd-002501.jpeg,Intel,24-Core,1.90 GHz,LGA 3647,
btd-002502,SR3G3,SR3G3 Intel Gold 6139 18-Core 2.30GHz 10.4GT/s UPI 24.75MB L3 Cache Socket LGA 3647 Processor,base,Default,simple,,Used,Default Category/CPUs/CPU By Socket/Intel/LGA 3647,254.17,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> SR3G3</li><li><strong>Processor Type :</strong> Server</li><li><strong>Series :</strong> Xeon Gold Processor</li><li><strong>Core Model Type/ProcNo. :</strong> Gold 6139</li><li><strong># of Cores :</strong> 18</li><li><strong># of Threads :</strong> 36</li><li><strong>L3 Cache Size :</strong> 24.75 MB</li><li><strong>Front Side Bus / QuickPath Interconnect :</strong> 10.40 GT/s</li><li><strong>Thermal Power :</strong> 135 Watts</li><li><strong>CPU Socket Type :</strong> LGA 3647</li><li><strong>Product Condition :</strong> OEM</li><li><strong>Standard Warranty :</strong> 21 days</li></ul>",<ul> <li><strong>Part No. :</strong> SR3G3</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 18-Core</li> ,,"Catalog, Search",Taxable Goods,SR3G3 Intel Gold 6139 18-Core 2.30GHz 10.4GT/s UPI 24.75MB L3 Cache Socket LGA 3647 Processor,,,btd-002502.jpeg,btd-002502.jpeg,btd-002502.jpeg,Intel,18-Core,,LGA 3647,
btd-002503,Gold 6139,Gold 6139 Intel Gold 18-Core 2.30GHz 10.40GT/s UPI 24.75MB L3 Cache Socket LGA 3647 Processor,base,Default,simple,,Used,Default Category/CPUs/CPU By Socket/Intel/LGA 3647,254.17,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> Gold 6139</li><li><strong>Processor Type :</strong> Server</li><li><strong>Series :</strong> Xeon Gold Processor</li><li><strong>Core Model Type/ProcNo. :</strong> Gold 6139</li><li><strong># of Cores :</strong> 18</li><li><strong># of Threads :</strong> 36</li><li><strong>L3 Cache Size :</strong> 24.75 MB</li><li><strong>Front Side Bus / QuickPath Interconnect :</strong> 10.40 GT/s</li><li><strong>Thermal Power :</strong> 135 Watts</li><li><strong>CPU Socket Type :</strong> LGA 3647</li><li><strong>Product Condition :</strong> OEM</li><li><strong>Standard Warranty :</strong> 21 days</li></ul>",<ul> <li><strong>Part No. :</strong> Gold 6139</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 18-Core</li> ,,"Catalog, Search",Taxable Goods,Gold 6139 Intel Gold 18-Core 2.30GHz 10.40GT/s UPI 24.75MB L3 Cache Socket LGA 3647 Processor,,,btd-002503.jpeg,btd-002503.jpeg,btd-002503.jpeg,Intel,18-Core,,LGA 3647,
btd-002504,SRF86,SRF86 Intel Xeon Gold 6278C 26-Core 2.60GHz 10.40GT/s UPI 35.75MB L3 Cache Socket LGA 3647 Processor,base,Default,simple,,Used,Default Category/CPUs/CPU By Socket/Intel/LGA 3647,9928.71,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> SRF86</li><li><strong>Processor Type :</strong> Server</li><li><strong>Series :</strong> Xeon Gold Processor</li><li><strong>Core Model Type/ProcNo. :</strong> 6278C</li><li><strong># of Cores :</strong> 26</li><li><strong># of Threads :</strong> 56</li><li><strong>Clock Speed :</strong> 2.6 GHz</li><li><strong>Max Turbo Frequency :</strong> 3.30 GHz</li><li><strong>L3 Cache Size :</strong> 35.75 MB</li><li><strong>Thermal Power :</strong> 185 Watts</li><li><strong>Memory Types :</strong> DDR4-2933</li><li><strong>CPU Socket Type :</strong> LGA 3647</li><li><strong>Product Condition :</strong> OEM</li><li><strong>Standard Warranty :</strong> 21 days</li></ul>",<ul> <li><strong>Part No. :</strong> SRF86</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 26-Core</li> ,,"Catalog, Search",Taxable Goods,SRF86 Intel Xeon Gold 6278C 26-Core 2.60GHz 10.40GT/s UPI 35.75MB L3 Cache Socket LGA 3647 Processor,,,btd-002504.jpeg,btd-002504.jpeg,btd-002504.jpeg,Intel,26-Core,2.6 GHz,LGA 3647,
btd-002505,Gold 6278C,Gold 6278C Intel Xeon Gold 26-Core 2.60GHz 10.40GT/s UPI 35.75MB L3 Cache Socket LGA 3647 Processor,base,Default,simple,,Used,Default Category/CPUs/CPU By Socket/Intel/LGA 3647,2400.5,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> Gold 6278C</li><li><strong>Processor Type :</strong> Server</li><li><strong>Series :</strong> Xeon Gold Processor</li><li><strong>Core Model Type/ProcNo. :</strong> 6278C</li><li><strong># of Cores :</strong> 26</li><li><strong># of Threads :</strong> 56</li><li><strong>Clock Speed :</strong> 2.6 GHz</li><li><strong>Max Turbo Frequency :</strong> 3.30 GHz</li><li><strong>L3 Cache Size :</strong> 35.75 MB</li><li><strong>Thermal Power :</strong> 185 Watts</li><li><strong>Memory Types :</strong> DDR4-2933</li><li><strong>CPU Socket Type :</strong> LGA 3647</li><li><strong>Product Condition :</strong> OEM</li><li><strong>Standard Warranty :</strong> 21 days</li></ul>",<ul> <li><strong>Part No. :</strong> Gold 6278C</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 26-Core</li> ,,"Catalog, Search",Taxable Goods,Gold 6278C Intel Xeon Gold 26-Core 2.60GHz 10.40GT/s UPI 35.75MB L3 Cache Socket LGA 3647 Processor,,,btd-002505.jpeg,btd-002505.jpeg,btd-002505.jpeg,Intel,26-Core,2.6 GHz,LGA 3647,
btd-002506,Gold 6133,Gold 6133 Intel Xeon Gold 20-Core 2.50GHz 10.40GT/s UPI 27.5MB L3 Cache LGA 3647 Processor,base,Default,simple,,Used,Default Category/CPUs/CPU By Socket/Intel/LGA 3647,2737.8,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> Gold 6133</li><li><strong>Processor Type :</strong> Server</li><li><strong>Series :</strong> Xeon Gold Processor</li><li><strong>Core Model Type/ProcNo. :</strong> Gold 6133</li><li><strong>Processor Code Name :</strong> Skylake-SP</li><li><strong>Manufacturing Technology :</strong> 14 nm</li><li><strong># of Cores :</strong> 20</li><li><strong>Clock Speed :</strong> 2.50 GHz</li><li><strong>Max Turbo Frequency :</strong> 3.00 GHz</li><li><strong>L3 Cache Size :</strong> 27.5 MB</li><li><strong>Front Side Bus / QuickPath Interconnect :</strong> 10.40 GT/s</li><li><strong>Thermal Power :</strong> 205 Watts</li><li><strong>Memory Types :</strong> DDR4-2666</li><li><strong>CPU Socket Type :</strong> LGA 3647</li><li><strong>Package Size :</strong> 7,6x5,65 cm</li><li><strong>Processing Die Size :</strong> 694 mmÂ²</li><li><strong>Advanced Technologies :</strong> Enhanced Intel SpeedStep TechnologyIntel Hyper-Threading TechnologyIntel Virtualization Technology (VT-x)</li><li><strong>Security & Reliability :</strong> Intel AES New InstructionsIntel Trusted Execution Technology</li><li><strong>Product Condition :</strong> OEM</li><li><strong>Standard Warranty :</strong> 21 days</li></ul>",<ul> <li><strong>Part No. :</strong> Gold 6133</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 20-Core</li> ,,"Catalog, Search",Taxable Goods,Gold 6133 Intel Xeon Gold 20-Core 2.50GHz 10.40GT/s UPI 27.5MB L3 Cache LGA 3647 Processor,,,btd-002506.jpeg,btd-002506.jpeg,btd-002506.jpeg,Intel,20-Core,2.50 GHz,LGA 3647,
btd-002507,Gold 5219Y,Gold 5219Y Intel Xeon Gold 16-Core 2.40GHz 10.40GT/s UPI 22MB L3 Cache Socket LGA 3647 Processor,base,Default,simple,,Used,Default Category/CPUs/CPU By Socket/Intel/LGA 3647,2747.2,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> Gold 5219Y</li><li><strong>Processor Type :</strong> Server</li><li><strong>Series :</strong> Xeon Gold Processor</li><li><strong>Core Model Type/ProcNo. :</strong> 5219Y</li><li><strong>Processor Code Name :</strong> Cascade Lake</li><li><strong>Manufacturing Technology :</strong> 14 nm</li><li><strong># of Cores :</strong> 16</li><li><strong># of Threads :</strong> 32</li><li><strong>Clock Speed :</strong> 2.40 GHz</li><li><strong>Max Turbo Frequency :</strong> 4.00 GHz</li><li><strong>L3 Cache Size :</strong> 22 MB</li><li><strong>Front Side Bus / QuickPath Interconnect :</strong> 10.40 GT/s</li><li><strong># of UPI Links :</strong> 2</li><li><strong>Thermal Power :</strong> 125 Watts</li><li><strong>Max Memory Size :</strong> 1 TB</li><li><strong>Memory Types :</strong> DDR4-2667</li><li><strong>Maximum Memory Speed :</strong> 2667 MHz</li><li><strong>Memory Channels :</strong> 6</li><li><strong>ECC Memory Supported :</strong> Yes</li><li><strong>Intel Optane DC Persistent Memory Supported :</strong> Yes</li><li><strong>CPU Socket Type :</strong> LGA 3647</li><li><strong>Package Size :</strong> 76.0mm x 56.5mm</li><li><strong>TCASE :</strong> 68 Â°C</li><li><strong>Embedded Options Available :</strong> No</li><li><strong>Scalability :</strong> 2S</li><li><strong>PCI Express :</strong> 3.0</li><li><strong>Max # of PCI Express Lanes :</strong> 48</li><li><strong>Advanced Technologies :</strong> Enhanced Intel SpeedStep TechnologyInstruction Set 64-bitIntel 64Intel Deep Learning Boost (Intel DL Boost)Intel Resource Director Technology (Intel RDT)Intel Speed Shift TechnologyIntel Transactional Synchronization ExtensionsIntel Turbo Boost Technology 2.0Intel Virtualization Technology (VT-x)Intel Virtualization Technology for Directed I/O (VT-d)Intel Volume Management Device (VMD)Intel vPro Platform EligibilityIntel VT-x with Extended Page Tables (EPT)</li><li><strong>Instruction Set Extensions :</strong> Intel SSE4.2, Intel AVX, Intel AVX2, Intel AVX-512</li><li><strong>Security & Reliability :</strong> Execute Disable BitIntel AES New InstructionsIntel Run Sure TechnologyIntel Trusted Execution TechnologyMode-based Execute Control (MBE)</li><li><strong>Product Condition :</strong> OEM</li><li><strong>Standard Warranty :</strong> 21 days</li></ul>",<ul> <li><strong>Part No. :</strong> Gold 5219Y</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 16-Core</li> ,,"Catalog, Search",Taxable Goods,Gold 5219Y Intel Xeon Gold 16-Core 2.40GHz 10.40GT/s UPI 22MB L3 Cache Socket LGA 3647 Processor,,,btd-002507.jpeg,btd-002507.jpeg,btd-002507.jpeg,Intel,16-Core,2.40 GHz,LGA 3647,
btd-002508,Platinum 8171M,Platinum 8171M Intel Xeon Platinum 26-Core 2.60GHz 10.40GT/s UPI 35.75MB L3 Cache Socket LGA 3647 Processor,base,Default,simple,,Used,Default Category/CPUs/CPU By Socket/Intel/LGA 3647,2737.8,1,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Intel</li><li><strong>Manufacturer Part # :</strong> Platinum 8171M</li></ul>",<ul> <li><strong>Part No. :</strong> Platinum 8171M</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 6-Core</li> ,,"Catalog, Search",Taxable Goods,Platinum 8171M Intel Xeon Platinum 26-Core 2.60GHz 10.40GT/s UPI 35.75MB L3 Cache Socket LGA 3647 Processor,,,btd-002508.jpeg,btd-002508.jpeg,btd-002508.jpeg,Intel,6-Core,,,
btd-002509,SRF8B,SRF8B Intel Xeon Gold 6269Y 22-Core 3.20GHz 10.40GT/s UPI 30.25MB L3 Cache Socket LGA 3647 Processor,base,Default,simple,,Used,Default Category/CPUs/CPU By Socket/Intel/LGA 3647,1827.7,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> SRF8B</li><li><strong>Processor Type :</strong> Server</li><li><strong>Series :</strong> Xeon Gold Processor</li><li><strong>Core Model Type/ProcNo. :</strong> 6269Y</li><li><strong>Processor Code Name :</strong> Cascade Lake</li><li><strong>Manufacturing Technology :</strong> 14 nm</li><li><strong># of Cores :</strong> 22</li><li><strong># of Threads :</strong> 44</li><li><strong>Clock Speed :</strong> 3.20 GHz</li><li><strong>Max Turbo Frequency :</strong> 3.70 GHz</li><li><strong>L3 Cache Size :</strong> 30.25 MB</li><li><strong># of UPI Links :</strong> 2</li><li><strong>Thermal Power :</strong> 240 Watts</li><li><strong>Max Memory Size :</strong> 1 TB</li><li><strong>Memory Types :</strong> DDR4-2667</li><li><strong>Maximum Memory Speed :</strong> 2667 MHz</li><li><strong>Memory Channels :</strong> 6</li><li><strong>ECC Memory Supported :</strong> Yes</li><li><strong>Intel Optane DC Persistent Memory Supported :</strong> Yes</li><li><strong>CPU Socket Type :</strong> LGA 3647</li><li><strong>Package Size :</strong> 76.0mm x 56.5mm</li><li><strong>TCASE :</strong> 65 Â°C</li><li><strong>Embedded Options Available :</strong> No</li><li><strong>Scalability :</strong> 2S</li><li><strong>PCI Express :</strong> 3.0</li><li><strong>Max # of PCI Express Lanes :</strong> 48</li><li><strong>Advanced Technologies :</strong> Enhanced Intel SpeedStep TechnologyInstruction Set 64-bitIntel 64Intel Deep Learning Boost (Intel DL Boost)Intel Hyper-Threading TechnologyIntel Resource Director Technology (Intel RDT)Intel Speed Shift TechnologyIntel Transactional Synchronization ExtensionsIntel Turbo Boost Technology 2.0Intel Virtualization Technology (VT-x)Intel Virtualization Technology for Directed I/O (VT-d)Intel Volume Management Device (VMD)Intel vPro Platform EligibilityIntel VT-x with Extended Page Tables (EPT)</li><li><strong># of AVX-512 FMA Units :</strong> 2</li><li><strong>Instruction Set Extensions :</strong> Intel SSE4.2, Intel AVX, Intel AVX2, Intel AVX-512</li><li><strong>Security & Reliability :</strong> Execute Disable BitIntel AES New InstructionsIntel Run Sure TechnologyIntel Trusted Execution TechnologyMode-based Execute Control (MBE)</li><li><strong>Product Condition :</strong> OEM</li><li><strong>Standard Warranty :</strong> 21 days</li></ul>",<ul> <li><strong>Part No. :</strong> SRF8B</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 22-Core</li> ,,"Catalog, Search",Taxable Goods,SRF8B Intel Xeon Gold 6269Y 22-Core 3.20GHz 10.40GT/s UPI 30.25MB L3 Cache Socket LGA 3647 Processor,,,btd-002509.jpeg,btd-002509.jpeg,btd-002509.jpeg,Intel,22-Core,3.20 GHz,LGA 3647,
btd-002510,CD8069504184102,CD8069504184102 Intel Xeon Gold 6269Y 22-Core 3.20GHz 10.40GT/s UPI 30.25MB L3 Cache Socket LGA 3647 Processor,base,Default,simple,,Used,Default Category/CPUs/CPU By Socket/Intel/LGA 3647,1827.7,1,1,"Specifications:
 <ul><li><strong>Brand :</strong> Intel</li><li><strong>Part No. :</strong> CD8069504184102</li><li><strong>Processor Type :</strong> Server</li><li><strong>Series :</strong> Xeon Gold Processor</li><li><strong>Core Model Type/ProcNo. :</strong> 6269Y</li><li><strong>Processor Code Name :</strong> Cascade Lake</li><li><strong>Manufacturing Technology :</strong> 14 nm</li><li><strong># of Cores :</strong> 22</li><li><strong># of Threads :</strong> 44</li><li><strong>Clock Speed :</strong> 3.20 GHz</li><li><strong>Max Turbo Frequency :</strong> 3.70 GHz</li><li><strong>L3 Cache Size :</strong> 30.25 MB</li><li><strong># of UPI Links :</strong> 2</li><li><strong>Thermal Power :</strong> 240 Watts</li><li><strong>Max Memory Size :</strong> 1 TB</li><li><strong>Memory Types :</strong> DDR4-2667</li><li><strong>Maximum Memory Speed :</strong> 2667 MHz</li><li><strong>Memory Channels :</strong> 6</li><li><strong>ECC Memory Supported :</strong> Yes</li><li><strong>Intel Optane DC Persistent Memory Supported :</strong> Yes</li><li><strong>CPU Socket Type :</strong> LGA 3647</li><li><strong>Package Size :</strong> 76.0mm x 56.5mm</li><li><strong>TCASE :</strong> 65 Â°C</li><li><strong>Embedded Options Available :</strong> No</li><li><strong>Scalability :</strong> 2S</li><li><strong>PCI Express :</strong> 3.0</li><li><strong>Max # of PCI Express Lanes :</strong> 48</li><li><strong>Advanced Technologies :</strong> Enhanced Intel SpeedStep TechnologyInstruction Set 64-bitIntel 64Intel Deep Learning Boost (Intel DL Boost)Intel Hyper-Threading TechnologyIntel Resource Director Technology (Intel RDT)Intel Speed Shift TechnologyIntel Transactional Synchronization ExtensionsIntel Turbo Boost Technology 2.0Intel Virtualization Technology (VT-x)Intel Virtualization Technology for Directed I/O (VT-d)Intel Volume Management Device (VMD)Intel vPro Platform EligibilityIntel VT-x with Extended Page Tables (EPT)</li><li><strong># of AVX-512 FMA Units :</strong> 2</li><li><strong>Instruction Set Extensions :</strong> Intel SSE4.2, Intel AVX, Intel AVX2, Intel AVX-512</li><li><strong>Security & Reliability :</strong> Execute Disable BitIntel AES New InstructionsIntel Run Sure TechnologyIntel Trusted Execution TechnologyMode-based Execute Control (MBE)</li><li><strong>Product Condition :</strong> OEM</li><li><strong>Standard Warranty :</strong> 21 days</li></ul>",<ul> <li><strong>Part No. :</strong> CD8069504184102</li>   <li><strong>Product Type:</strong> CPU/Microprocessor</li>  <li><strong>Brand :</strong> Intel</li> <li><strong>Processor Cores :</strong> 22-Core</li> ,,"Catalog, Search",Taxable Goods,CD8069504184102 Intel Xeon Gold 6269Y 22-Core 3.20GHz 10.40GT/s UPI 30.25MB L3 Cache Socket LGA 3647 Processor,,,btd-002510.jpeg,btd-002510.jpeg,btd-002510.jpeg,Intel,22-Core,3.20 GHz,LGA 3647,
