sku,mpn,name,product_websites,attribute_set_code,product_type,storage,condition,categories,price,qty,is_in_stock,description,short_description,weight,visibility,tax_class_name,meta_title,meta_description,meta_keyword,image,small_image,thumbnail,brand,hard_drive_interface,hard_drive_capacity,hard_drive_speed,hard_drive_form_factor,hard_drive_cache,errors
btd-032710,0J165G,0J165G Dell 160GB 7200RPM SATA 3Gbps 16MB Cache 2.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Laptop/Desktop Capacities - 160GB HDD,71.19,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Dell</li><li><strong>Manufacturer Part # :</strong> 0J165G</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 2.5-inch</li><li><strong>Capacity :</strong> 160 GB</li><li><strong>Cache :</strong> 16 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SATA 3.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 0J165G</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Dell</li> ,,"Catalog, Search",Taxable Goods,0J165G Dell 160GB 7200RPM SATA 3Gbps 16MB Cache 2.5-inch Internal Hard Drive,,,btd-032710.jpeg,btd-032710.jpeg,btd-032710.jpeg,Dell,SATA 3.0 Gbps,80GB - 160GB,7200 RPM,2.5-inch,16 MB,
btd-032711,0A53460,0A53460 Hitachi Travelstar 5K160 160GB 5400RPM SATA 1.5Gbps 8MB Cache 2.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Laptop/Desktop Capacities - 160GB HDD,90.38,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Hitachi</li><li><strong>Manufacturer Part # :</strong> 0A53460</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Capacity :</strong> 160 GB</li><li><strong>Spindle Speed :</strong> 5400 RPM</li><li><strong>Drive Interface Type :</strong> SATA 1.5 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 0A53460</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Hitachi</li> ,,"Catalog, Search",Taxable Goods,0A53460 Hitachi Travelstar 5K160 160GB 5400RPM SATA 1.5Gbps 8MB Cache 2.5-inch Internal Hard Drive,,,btd-032711.jpeg,btd-032711.jpeg,btd-032711.jpeg,Hitachi,SATA 1.5 Gbps,80GB - 160GB,5400 RPM,,,
btd-032712,371582R-001,371582R-001 HP 160GB 7200RPM SATA 1.5Gbps 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Laptop/Desktop Capacities - 160GB HDD,85.06,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HP</li><li><strong>Manufacturer Part # :</strong> 371582R-001</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Capacity :</strong> 160 GB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SATA 1.5 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 371582R-001</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> HP</li> ,,"Catalog, Search",Taxable Goods,371582R-001 HP 160GB 7200RPM SATA 1.5Gbps 3.5-inch Internal Hard Drive,,,btd-032712.jpeg,btd-032712.jpeg,btd-032712.jpeg,HP,SATA 1.5 Gbps,80GB - 160GB,7200 RPM,,,
btd-032713,372895-B21-U,372895-B21-U HP 160GB 7200RPM SATA 1.5Gbps 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Laptop/Desktop Capacities - 160GB HDD,85.06,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HP</li><li><strong>Manufacturer Part # :</strong> 372895-B21-U</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Capacity :</strong> 160 GB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SATA 1.5 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 372895-B21-U</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> HP</li> ,,"Catalog, Search",Taxable Goods,372895-B21-U HP 160GB 7200RPM SATA 1.5Gbps 3.5-inch Internal Hard Drive,,,btd-032713.jpeg,btd-032713.jpeg,btd-032713.jpeg,HP,SATA 1.5 Gbps,80GB - 160GB,7200 RPM,,,
btd-032714,390822-002N,390822-002N HP 160GB 7200RPM SATA 3Gbps 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Laptop/Desktop Capacities - 160GB HDD,65.28,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HP</li><li><strong>Manufacturer Part # :</strong> 390822-002N</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 160 GB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SATA 3.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 390822-002N</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> HP</li> ,,"Catalog, Search",Taxable Goods,390822-002N HP 160GB 7200RPM SATA 3Gbps 3.5-inch Internal Hard Drive,,,btd-032714.jpeg,btd-032714.jpeg,btd-032714.jpeg,HP,SATA 3.0 Gbps,80GB - 160GB,7200 RPM,3.5-inch,,
btd-032715,511873R-001,511873R-001 HP 160GB 5400RPM SATA 3Gbps 2.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Laptop/Desktop Capacities - 160GB HDD,53.14,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HP</li><li><strong>Manufacturer Part # :</strong> 511873R-001</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Capacity :</strong> 160 GB</li><li><strong>Spindle Speed :</strong> 5400 RPM</li><li><strong>Drive Interface Type :</strong> SATA 3.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 511873R-001</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> HP</li> ,,"Catalog, Search",Taxable Goods,511873R-001 HP 160GB 5400RPM SATA 3Gbps 2.5-inch Internal Hard Drive,,,btd-032715.jpeg,btd-032715.jpeg,btd-032715.jpeg,HP,SATA 3.0 Gbps,80GB - 160GB,5400 RPM,,,
btd-032716,9FY152-001,9FY152-001 Seagate Constellation 7200 160GB 7200RPM SATA 3Gbps 32MB Cache 2.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Laptop/Desktop Capacities - 160GB HDD,63.07,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Seagate</li><li><strong>Manufacturer Part # :</strong> 9FY152-001</li><li><strong>Product Line :</strong> Constellation</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 2.5-inch</li><li><strong>Capacity :</strong> 160 GB</li><li><strong>Cache :</strong> 32 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Average Seek Time :</strong> 8 ms</li><li><strong>Drive Interface Type :</strong> SATA 3.0 Gbps</li><li><strong>Features :</strong> Quiet OperationOn-The-Fly Error-CorrectionNative Command Queuing (NCQ)Perpendicular Magnetic Recording (PMR)</li></ul>",<ul> <li><strong>Part No. :</strong> 9FY152-001</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Seagate</li> ,,"Catalog, Search",Taxable Goods,9FY152-001 Seagate Constellation 7200 160GB 7200RPM SATA 3Gbps 32MB Cache 2.5-inch Internal Hard Drive,,,btd-032716.jpeg,btd-032716.jpeg,btd-032716.jpeg,Seagate,SATA 3.0 Gbps,80GB - 160GB,7200 RPM,2.5-inch,32 MB,
btd-032717,484052R-001,484052R-001 HP 160GB 7200RPM SATA 3Gbps 8MB Cache 3.5-inch Internal Hard Drive for XW Workstation,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Laptop/Desktop Capacities - 160GB HDD,65.28,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HP</li><li><strong>Manufacturer Part # :</strong> 484052R-001</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 160 GB</li><li><strong>Cache :</strong> 8 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SATA 3.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 484052R-001</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> HP</li> ,,"Catalog, Search",Taxable Goods,484052R-001 HP 160GB 7200RPM SATA 3Gbps 8MB Cache 3.5-inch Internal Hard Drive for XW Workstation,,,btd-032717.jpeg,btd-032717.jpeg,btd-032717.jpeg,HP,SATA 3.0 Gbps,80GB - 160GB,7200 RPM,3.5-inch,8 MB,
btd-032718,9W2814-140,9W2814-140 Seagate Barracuda 7200.7 160GB 7200RPM SATA 1.5Gbps 8MB Cache 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Laptop/Desktop Capacities - 160GB HDD,94.30,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Seagate</li><li><strong>Manufacturer Part # :</strong> 9W2814-140</li><li><strong>Product Line :</strong> Barracuda</li><li><strong>Product Series :</strong> 7200.7</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 160 GB</li><li><strong>Cache :</strong> 8 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Average Seek Time :</strong> 8.5 ms</li><li><strong>Drive Interface Type :</strong> SATA 1.5 Gbps</li><li><strong>Features :</strong> 3D Defense SystemSeaShell PackagingEnhanced G-Force ProtectionError-Correction Code (ECC)Sound Barrier Technology (SBT)Enhanced Drive Self-Test (NDST)Seagate Exclusive SoftSonic MotorFluid Dynamic Bearing (FDB) MotorEnhanced Partial Response Maximum Likelihood (EPRML)</li></ul>",<ul> <li><strong>Part No. :</strong> 9W2814-140</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Seagate</li> ,,"Catalog, Search",Taxable Goods,9W2814-140 Seagate Barracuda 7200.7 160GB 7200RPM SATA 1.5Gbps 8MB Cache 3.5-inch Internal Hard Drive,,,btd-032718.jpeg,btd-032718.jpeg,btd-032718.jpeg,Seagate,SATA 1.5 Gbps,80GB - 160GB,7200 RPM,3.5-inch,8 MB,
btd-032719,332650-003-U,332650-003-U HP 160GB 7200RPM SATA 1.5Gbps 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Laptop/Desktop Capacities - 160GB HDD,85.06,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HP</li><li><strong>Manufacturer Part # :</strong> 332650-003-U</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Capacity :</strong> 160 GB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SATA 1.5 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 332650-003-U</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> HP</li> ,,"Catalog, Search",Taxable Goods,332650-003-U HP 160GB 7200RPM SATA 1.5Gbps 3.5-inch Internal Hard Drive,,,btd-032719.jpeg,btd-032719.jpeg,btd-032719.jpeg,HP,SATA 1.5 Gbps,80GB - 160GB,7200 RPM,,,
