sku,mpn,name,product_websites,attribute_set_code,product_type,storage,condition,categories,price,qty,is_in_stock,description,short_description,weight,visibility,tax_class_name,meta_title,meta_description,meta_keyword,image,small_image,thumbnail,brand,hard_drive_interface,hard_drive_capacity,hard_drive_speed,hard_drive_form_factor,hard_drive_cache,errors
btd-029447,ST5000NM0004,ST5000NM0004 Seagate Enterprise 5TB 7200RPM SATA 6Gbps 128MB Cache 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/hard_drive/HDD by Capacity/Latest Capacities - 5TB HDD,189.56,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Seagate</li><li><strong>Manufacturer Part # :</strong> ST5000NM0004</li><li><strong>Product Line :</strong> Enterprise</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 5 TB</li><li><strong>Cache :</strong> 128 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Average Seek Time :</strong> 8.5 ms</li><li><strong>Drive Interface Type :</strong> SATA 6.0 Gbps</li><li><strong>Features :</strong> Native Command QueuingPerpendicular Recording TechnologyOn-the-fly Error-correction Algorithms</li></ul>",<ul> <li><strong>Part No. :</strong> ST5000NM0004</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Seagate</li> ,,"Catalog, Search",Taxable Goods,ST5000NM0004 Seagate Enterprise 5TB 7200RPM SATA 6Gbps 128MB Cache 3.5-inch Internal Hard Drive,,,btd-029447.jpeg,btd-029447.jpeg,btd-029447.jpeg,Seagate,SATA 6.0 Gbps,5 TB,7200 RPM,3.5-inch,128 MB,
btd-029642,ST5000AS0002,ST5000AS0002 Seagate Archive 5TB 5900RPM SATA 6Gbps 128MB Cache 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/hard_drive/HDD by Capacity/Latest Capacities - 5TB HDD,203.35,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Seagate</li><li><strong>Manufacturer Part # :</strong> ST5000AS0002</li><li><strong>Product Line :</strong> Archive</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 5 TB</li><li><strong>Cache :</strong> 128 MB</li><li><strong>Spindle Speed :</strong> 5900 RPM</li><li><strong>Average Seek Time :</strong> 12 ms</li><li><strong>Drive Interface Type :</strong> SATA 6.0 Gbps</li><li><strong>Features :</strong> 24x7 OperationQuiet OperationSmartAlign TechnologyAcuTrac Servo TechnologyTGMR Recording TechnologyOn-the-fly Error-correction Algorithms</li></ul>",<ul> <li><strong>Part No. :</strong> ST5000AS0002</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Seagate</li> ,,"Catalog, Search",Taxable Goods,ST5000AS0002 Seagate Archive 5TB 5900RPM SATA 6Gbps 128MB Cache 3.5-inch Internal Hard Drive,,,btd-029642.jpeg,btd-029642.jpeg,btd-029642.jpeg,Seagate,SATA 6.0 Gbps,5 TB,5900 RPM,3.5-inch,128 MB,
btd-031454,HDEUR10GZA51F,HDEUR10GZA51F Toshiba Surveillance 5TB 5400RPM SATA 6Gbps 128MB Cache (512e) 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/hard_drive/HDD by Capacity/Latest Capacities - 5TB HDD,300.80,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Toshiba</li><li><strong>Manufacturer Part # :</strong> HDEUR10GZA51F</li><li><strong>Product Line :</strong> Surveillance</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 5 TB</li><li><strong>Cache :</strong> 128 MB</li><li><strong>Spindle Speed :</strong> 5400 RPM</li><li><strong>Average Seek Time :</strong> 14 ms</li><li><strong>Drive Interface Type :</strong> SATA 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> HDEUR10GZA51F</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Toshiba</li> ,,"Catalog, Search",Taxable Goods,HDEUR10GZA51F Toshiba Surveillance 5TB 5400RPM SATA 6Gbps 128MB Cache (512e) 3.5-inch Internal Hard Drive,,,btd-031454.jpeg,btd-031454.jpeg,btd-031454.jpeg,Toshiba,SATA 6.0 Gbps,5 TB,5400 RPM,3.5-inch,128 MB,
btd-029450,ST5000NM0034,ST5000NM0034 Seagate Enterprise 5TB 7200RPM SAS 12Gbps 128MB Cache 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/hard_drive/HDD by Capacity/Latest Capacities - 5TB HDD,343.66,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Seagate</li><li><strong>Manufacturer Part # :</strong> ST5000NM0034</li><li><strong>Product Line :</strong> Enterprise</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 5 TB</li><li><strong>Cache :</strong> 128 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Average Seek Time :</strong> 8.5 ms</li><li><strong>Drive Interface Type :</strong> SAS 12.0 Gbps</li><li><strong>Features :</strong> 24Ã—7 OperationDynamic Spindle BrakeDrive Self Test (DST)Embedded Servo DesignZone Bit Recording (ZBR)Dedicated Head Load/Unload Zone</li></ul>",<ul> <li><strong>Part No. :</strong> ST5000NM0034</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Seagate</li> ,,"Catalog, Search",Taxable Goods,ST5000NM0034 Seagate Enterprise 5TB 7200RPM SAS 12Gbps 128MB Cache 3.5-inch Internal Hard Drive,,,btd-029450.jpeg,btd-029450.jpeg,btd-029450.jpeg,Seagate,SAS 12.0 Gbps,5 TB,7200 RPM,3.5-inch,128 MB,
btd-031456,0F22813,0F22813 HGST Hitachi Ultrastar 7K6000 5TB 7200RPM SAS 12Gbps 128MB Cache (SE / 512e) 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/hard_drive/HDD by Capacity/Latest Capacities - 5TB HDD,491.56,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Hitachi</li><li><strong>Manufacturer Part # :</strong> 0F22813</li><li><strong>Product Line :</strong> Ultrastar</li><li><strong>Product Series :</strong> 7K6000</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 5 TB</li><li><strong>Cache :</strong> 128 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Average Seek Time :</strong> 7.6 ms</li><li><strong>Drive Interface Type :</strong> SAS 12.0 Gbps</li><li><strong>Features :</strong> Rotational Vibration Safeguard (RVS)</li></ul>",<ul> <li><strong>Part No. :</strong> 0F22813</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Hitachi</li> ,,"Catalog, Search",Taxable Goods,0F22813 HGST Hitachi Ultrastar 7K6000 5TB 7200RPM SAS 12Gbps 128MB Cache (SE / 512e) 3.5-inch Internal Hard Drive,,,btd-031456.jpeg,btd-031456.jpeg,btd-031456.jpeg,Hitachi,SAS 12.0 Gbps,5 TB,7200 RPM,3.5-inch,128 MB,
btd-026857,HUS726050AL5215,HUS726050AL5215 HGST Hitachi Ultrastar 7K6000 5TB 7200RPM SAS 12Gbps 128MB Cache (TCG FIPS / 512e) 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/hard_drive/HDD by Capacity/Latest Capacities - 5TB HDD,770.55,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Hitachi</li><li><strong>Manufacturer Part # :</strong> HUS726050AL5215</li><li><strong>Product Line :</strong> Ultrastar</li><li><strong>Product Series :</strong> 7K6000</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 5 TB</li><li><strong>Cache :</strong> 128 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Average Seek Time :</strong> 7.6 ms</li><li><strong>Drive Interface Type :</strong> SAS 12.0 Gbps</li><li><strong>Features :</strong> Rotational Vibration Safeguard (RVS)</li></ul>",<ul> <li><strong>Part No. :</strong> HUS726050AL5215</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Hitachi</li> ,,"Catalog, Search",Taxable Goods,HUS726050AL5215 HGST Hitachi Ultrastar 7K6000 5TB 7200RPM SAS 12Gbps 128MB Cache (TCG FIPS / 512e) 3.5-inch Internal Hard Drive,,,btd-026857.jpeg,btd-026857.jpeg,btd-026857.jpeg,Hitachi,SAS 12.0 Gbps,5 TB,7200 RPM,3.5-inch,128 MB,
btd-031458,H3IKNASN500012872SE4PK,H3IKNASN500012872SE4PK HGST Hitachi Deskstar NAS v2 5TB 7200RPM SATA 6Gbps 128MB Cache (512e) 3.5-inch Internal Hard Drive (Retail Kit) (4-Pack),base,Default,simple,,Used,Default Category/hard_drive/HDD by Capacity/Latest Capacities - 5TB HDD,671.08,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Hitachi</li><li><strong>Manufacturer Part # :</strong> H3IKNASN500012872SE4PK</li><li><strong>Product Line :</strong> Deskstar</li><li><strong>Product Series :</strong> NAS v2</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 5 TB</li><li><strong>Cache :</strong> 128 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Average Seek Time :</strong> 8.5 ms</li><li><strong>Drive Interface Type :</strong> SATA 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> H3IKNASN500012872SE4PK</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Hitachi</li> ,,"Catalog, Search",Taxable Goods,H3IKNASN500012872SE4PK HGST Hitachi Deskstar NAS v2 5TB 7200RPM SATA 6Gbps 128MB Cache (512e) 3.5-inch Internal Hard Drive (Retail Kit) (4-Pack),,,btd-031458.jpeg,btd-031458.jpeg,btd-031458.jpeg,Hitachi,SATA 6.0 Gbps,5 TB,7200 RPM,3.5-inch,128 MB,
btd-031459,ST5000LM000-40PK,ST5000LM000-40PK Seagate BarraCuda 5TB 5400RPM SATA 6Gbps 128MB Cache (512e) 2.5-inch Internal Hard Drive (40-Pack),base,Default,simple,,Used,Default Category/hard_drive/HDD by Capacity/Latest Capacities - 5TB HDD,6752.90,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Seagate</li><li><strong>Manufacturer Part # :</strong> ST5000LM000-40PK</li></ul>",<ul> <li><strong>Part No. :</strong> ST5000LM000-40PK</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Seagate</li> ,,"Catalog, Search",Taxable Goods,ST5000LM000-40PK Seagate BarraCuda 5TB 5400RPM SATA 6Gbps 128MB Cache (512e) 2.5-inch Internal Hard Drive (40-Pack),,,btd-031459.jpeg,btd-031459.jpeg,btd-031459.jpeg,Seagate,,,,,,
btd-030263,MC04ACA50DA,MC04ACA50DA Toshiba Enterprise 5TB 7200RPM SATA 6Gbps 128MB Cache 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/hard_drive/HDD by Capacity/Latest Capacities - 5TB HDD,189.56,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Toshiba</li><li><strong>Manufacturer Part # :</strong> MC04ACA50DA</li></ul>",<ul> <li><strong>Part No. :</strong> MC04ACA50DA</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Toshiba</li> ,,"Catalog, Search",Taxable Goods,MC04ACA50DA Toshiba Enterprise 5TB 7200RPM SATA 6Gbps 128MB Cache 3.5-inch Internal Hard Drive,,,btd-030263.jpeg,btd-030263.jpeg,btd-030263.jpeg,Toshiba,,,,,,
btd-027426,4XB0G88712,4XB0G88712 Lenovo Enterprise 5TB 7200RPM SATA 6Gbps Hot Swap 3.5-inch Internal Hard Drive for ThinkServer Gen 5,base,Default,simple,,Used,Default Category/hard_drive/HDD by Capacity/Latest Capacities - 5TB HDD,189.56,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Lenovo</li><li><strong>Manufacturer Part # :</strong> 4XB0G88712</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 5 TB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SATA 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 4XB0G88712</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Lenovo</li> ,,"Catalog, Search",Taxable Goods,4XB0G88712 Lenovo Enterprise 5TB 7200RPM SATA 6Gbps Hot Swap 3.5-inch Internal Hard Drive for ThinkServer Gen 5,,,btd-027426.jpeg,btd-027426.jpeg,btd-027426.jpeg,Lenovo,SATA 6.0 Gbps,5 TB,7200 RPM,3.5-inch,,
