btd-037710,T6TWN,T6TWN Dell 1.2TB 10000RPM SAS 6Gbps Hot Swap 64MB Cache 2.5-inch Internal Hard Drive with Tray for PowerEdge Servers,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Server Capacities - 1.2TB HDD,82.54,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Dell</li><li><strong>Manufacturer Part # :</strong> T6TWN</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 2.5-inch</li><li><strong>Capacity :</strong> 1.2 TB</li><li><strong>Cache :</strong> 64 MB</li><li><strong>Spindle Speed :</strong> 10000 RPM</li><li><strong>Drive Interface Type :</strong> SAS 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> T6TWN</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Dell</li> ,,"Catalog, Search",Taxable Goods,T6TWN Dell 1.2TB 10000RPM SAS 6Gbps Hot Swap 64MB Cache 2.5-inch Internal Hard Drive with Tray for PowerEdge Servers,,,btd-037710.jpeg,btd-037710.jpeg,btd-037710.jpeg,Dell,SAS 6.0 Gbps,1 TB,10000 RPM,2.5-inch,64 MB,
btd-037711,0B28475,0B28475 HGST Hitachi Ultrastar C10K1200 1.2TB 10000RPM SAS 6Gbps 64MB Cache 2.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Server Capacities - 1.2TB HDD,108.51,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Hitachi</li><li><strong>Manufacturer Part # :</strong> 0B28475</li><li><strong>Product Line :</strong> Ultrastar</li><li><strong>Product Series :</strong> C10K1200</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 2.5-inch</li><li><strong>Capacity :</strong> 1.2 TB</li><li><strong>Cache :</strong> 64 MB</li><li><strong>Spindle Speed :</strong> 10000 RPM</li><li><strong>Average Seek Time :</strong> 4.6 ms</li><li><strong>Drive Interface Type :</strong> SAS 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 0B28475</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Hitachi</li> ,,"Catalog, Search",Taxable Goods,0B28475 HGST Hitachi Ultrastar C10K1200 1.2TB 10000RPM SAS 6Gbps 64MB Cache 2.5-inch Internal Hard Drive,,,btd-037711.jpeg,btd-037711.jpeg,btd-037711.jpeg,Hitachi,SAS 6.0 Gbps,1 TB,10000 RPM,2.5-inch,64 MB,
btd-037712,00E8631,00E8631 IBM 1.2TB 10000RPM SAS 6Gbps 64MB Cache 2.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Server Capacities - 1.2TB HDD,199.02,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> IBM</li><li><strong>Manufacturer Part # :</strong> 00E8631</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 2.5-inch</li><li><strong>Capacity :</strong> 1.2 TB</li><li><strong>Cache :</strong> 64 MB</li><li><strong>Spindle Speed :</strong> 10000 RPM</li><li><strong>Drive Interface Type :</strong> SAS 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 00E8631</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> IBM</li> ,,"Catalog, Search",Taxable Goods,00E8631 IBM 1.2TB 10000RPM SAS 6Gbps 64MB Cache 2.5-inch Internal Hard Drive,,,btd-037712.jpeg,btd-037712.jpeg,btd-037712.jpeg,IBM,SAS 6.0 Gbps,1 TB,10000 RPM,2.5-inch,64 MB,
btd-037713,ST1200MM0006,ST1200MM0006 Seagate Savvio 10K.6 1.2TB 10000RPM SAS 6Gbps 64MB Cache 2.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Server Capacities - 1.2TB HDD,82.54,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Seagate</li><li><strong>Manufacturer Part # :</strong> ST1200MM0006</li><li><strong>Product Line :</strong> Savvio</li><li><strong>Product Series :</strong> 10K.6</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 2.5-inch</li><li><strong>Capacity :</strong> 1.2 TB</li><li><strong>Cache :</strong> 64 MB</li><li><strong>Spindle Speed :</strong> 10000 RPM</li><li><strong>Average Seek Time :</strong> 4.6 ms</li><li><strong>Drive Interface Type :</strong> SAS 6.0 Gbps</li><li><strong>Features :</strong> Drive Self Test (DST)Embedded Servo DesignDynamic Spindle BrakePower Choice TechnologyZone Bit Recording (ZBR)Background Media Scan (BMS)Dedicated Head Load/Unload Zone</li></ul>",<ul> <li><strong>Part No. :</strong> ST1200MM0006</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Seagate</li> ,,"Catalog, Search",Taxable Goods,ST1200MM0006 Seagate Savvio 10K.6 1.2TB 10000RPM SAS 6Gbps 64MB Cache 2.5-inch Internal Hard Drive,,,btd-037713.jpeg,btd-037713.jpeg,btd-037713.jpeg,Seagate,SAS 6.0 Gbps,1 TB,10000 RPM,2.5-inch,64 MB,
btd-037714,AL41012006B,AL41012006B EMC 1.2TB 10000RPM SAS 2.5-inch Internal Hard Drive with RAID6 (6+2 Configuration) for VMAX 10K,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Server Capacities - 1.2TB HDD,235.71,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> EMC</li><li><strong>Manufacturer Part # :</strong> AL41012006B</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 2.5-inch</li><li><strong>Capacity :</strong> 1.2 TB</li><li><strong>Spindle Speed :</strong> 10000 RPM</li><li><strong>Drive Interface Type :</strong> SAS</li></ul>",<ul> <li><strong>Part No. :</strong> AL41012006B</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> EMC</li> ,,"Catalog, Search",Taxable Goods,AL41012006B EMC 1.2TB 10000RPM SAS 2.5-inch Internal Hard Drive with RAID6 (6+2 Configuration) for VMAX 10K,,,btd-037714.jpeg,btd-037714.jpeg,btd-037714.jpeg,EMC,SAS,1 TB,10000 RPM,2.5-inch,,
btd-037715,781518R-B21,781518R-B21 HPE 1.2TB 10000RPM SAS 12Gbps Hot Swap 2.5-inch Internal Hard Drive with Smart Carrier,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Server Capacities - 1.2TB HDD,52.27,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HP</li><li><strong>Manufacturer Part # :</strong> 781518R-B21</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 2.5-inch</li><li><strong>Capacity :</strong> 1.2 TB</li><li><strong>Spindle Speed :</strong> 10000 RPM</li><li><strong>Drive Interface Type :</strong> SAS 12.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 781518R-B21</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> HP</li> ,,"Catalog, Search",Taxable Goods,781518R-B21 HPE 1.2TB 10000RPM SAS 12Gbps Hot Swap 2.5-inch Internal Hard Drive with Smart Carrier,,,btd-037715.jpeg,btd-037715.jpeg,btd-037715.jpeg,HP,SAS 12.0 Gbps,1 TB,10000 RPM,2.5-inch,,
btd-037716,0MFWK4,0MFWK4 Dell 1.2TB 10000RPM SAS 6Gbps Hot Swap 2.5-inch Internal Hybrid Hard Drive with Tray,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Server Capacities - 1.2TB HDD,82.54,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Dell</li><li><strong>Manufacturer Part # :</strong> 0MFWK4</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 2.5-inch</li><li><strong>Capacity :</strong> 1.2 TB</li><li><strong>Spindle Speed :</strong> 10000 RPM</li><li><strong>Drive Interface Type :</strong> SAS 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 0MFWK4</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Dell</li> ,,"Catalog, Search",Taxable Goods,0MFWK4 Dell 1.2TB 10000RPM SAS 6Gbps Hot Swap 2.5-inch Internal Hybrid Hard Drive with Tray,,,btd-037716.jpeg,btd-037716.jpeg,btd-037716.jpeg,Dell,SAS 6.0 Gbps,1 TB,10000 RPM,2.5-inch,,
btd-037717,00NA301,00NA301 Lenovo 1.2TB 10000RPM SAS 12Gbps Hot Swap (SED / 512e) 2.5-inch Internal Hard Drive for System x3550 M5,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Server Capacities - 1.2TB HDD,147.62,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Lenovo</li><li><strong>Manufacturer Part # :</strong> 00NA301</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 2.5-inch</li><li><strong>Capacity :</strong> 1.2 TB</li><li><strong>Spindle Speed :</strong> 10000 RPM</li><li><strong>Drive Interface Type :</strong> SAS 12.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 00NA301</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Lenovo</li> ,,"Catalog, Search",Taxable Goods,00NA301 Lenovo 1.2TB 10000RPM SAS 12Gbps Hot Swap (SED / 512e) 2.5-inch Internal Hard Drive for System x3550 M5,,,btd-037717.jpeg,btd-037717.jpeg,btd-037717.jpeg,Lenovo,SAS 12.0 Gbps,1 TB,10000 RPM,2.5-inch,,
btd-037718,00LY266,00LY266 IBM 1.2TB 10000RPM SAS 6Gbps 2.5-inch Internal Hard Drive for AIX and Linux Based Server Systems,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Server Capacities - 1.2TB HDD,233.11,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> IBM</li><li><strong>Manufacturer Part # :</strong> 00LY266</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 2.5-inch</li><li><strong>Capacity :</strong> 1.2 TB</li><li><strong>Spindle Speed :</strong> 10000 RPM</li><li><strong>Average Seek Time :</strong> 4.6 ms</li><li><strong>Drive Interface Type :</strong> SAS 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 00LY266</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> IBM</li> ,,"Catalog, Search",Taxable Goods,00LY266 IBM 1.2TB 10000RPM SAS 6Gbps 2.5-inch Internal Hard Drive for AIX and Linux Based Server Systems,,,btd-037718.jpeg,btd-037718.jpeg,btd-037718.jpeg,IBM,SAS 6.0 Gbps,1 TB,10000 RPM,2.5-inch,,
btd-037719,J3K87AV,J3K87AV HP 1.2TB 10000RPM SAS 6Gbps 2.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Server Capacities - 1.2TB HDD,143.81,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HP</li><li><strong>Manufacturer Part # :</strong> J3K87AV</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 2.5-inch</li><li><strong>Capacity :</strong> 1.2 TB</li><li><strong>Spindle Speed :</strong> 10000 RPM</li><li><strong>Drive Interface Type :</strong> SAS 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> J3K87AV</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> HP</li> ,,"Catalog, Search",Taxable Goods,J3K87AV HP 1.2TB 10000RPM SAS 6Gbps 2.5-inch Internal Hard Drive,,,btd-037719.jpeg,btd-037719.jpeg,btd-037719.jpeg,HP,SAS 6.0 Gbps,1 TB,10000 RPM,2.5-inch,,
