sku,mpn,name,product_websites,attribute_set_code,product_type,storage,condition,categories,price,qty,is_in_stock,description,short_description,weight,visibility,tax_class_name,meta_title,meta_description,meta_keyword,image,small_image,thumbnail,brand,hard_drive_interface,hard_drive_capacity,hard_drive_speed,hard_drive_form_factor,hard_drive_cache,errors
btd-027495,01PG622,01PG622 Lenovo 4TB 7200RPM SAS 12Gbps Near Line 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Lenovo Hard Drives,222.73,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Lenovo</li><li><strong>Manufacturer Part # :</strong> 01PG622</li></ul>",<ul> <li><strong>Part No. :</strong> 01PG622</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Lenovo</li> ,,"Catalog, Search",Taxable Goods,01PG622 Lenovo 4TB 7200RPM SAS 12Gbps Near Line 3.5-inch Internal Hard Drive,,,btd-027495.jpeg,btd-027495.jpeg,btd-027495.jpeg,Lenovo,,,,,,
btd-027496,00Y9082,00Y9082 Lenovo 10TB 7200RPM SATA 6Gbps Near Line 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Lenovo Hard Drives,241.40,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Lenovo</li><li><strong>Manufacturer Part # :</strong> 00Y9082</li></ul>",<ul> <li><strong>Part No. :</strong> 00Y9082</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Lenovo</li> ,,"Catalog, Search",Taxable Goods,00Y9082 Lenovo 10TB 7200RPM SATA 6Gbps Near Line 3.5-inch Internal Hard Drive,,,btd-027496.jpeg,btd-027496.jpeg,btd-027496.jpeg,Lenovo,,,,,,
btd-027497,1P00WE790,1P00WE790 Lenovo 8TB 7200RPM SAS 12Gbps Nearline 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Lenovo Hard Drives,435.39,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Lenovo</li><li><strong>Manufacturer Part # :</strong> 1P00WE790</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 8 TB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Average Seek Time :</strong> 8.5 ms</li><li><strong>Drive Interface Type :</strong> SAS 12.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 1P00WE790</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Lenovo</li> ,,"Catalog, Search",Taxable Goods,1P00WE790 Lenovo 8TB 7200RPM SAS 12Gbps Nearline 3.5-inch Internal Hard Drive,,,btd-027497.jpeg,btd-027497.jpeg,btd-027497.jpeg,Lenovo,SAS 12.0 Gbps,8 TB,7200 RPM,3.5-inch,,
btd-027498,4XB0G88725,4XB0G88725 Lenovo 5TB 7200RPM SATA 6Gbps Easy Swap 3.5-inch Internal Hard Drive for ThinkServer Gen5,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Lenovo Hard Drives,189.56,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Lenovo</li><li><strong>Manufacturer Part # :</strong> 4XB0G88725</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 5 TB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SATA 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 4XB0G88725</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Lenovo</li> ,,"Catalog, Search",Taxable Goods,4XB0G88725 Lenovo 5TB 7200RPM SATA 6Gbps Easy Swap 3.5-inch Internal Hard Drive for ThinkServer Gen5,,,btd-027498.jpeg,btd-027498.jpeg,btd-027498.jpeg,Lenovo,SATA 6.0 Gbps,5 TB,7200 RPM,3.5-inch,,
btd-027499,4XB7A14690,4XB7A14690 Lenovo 4TB 7200RPM SAS 12Gbps Nearline Hot Swap 3.5-inch Internal Hard Drive for ThinkSystem DM7000H (30-Pack),base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Lenovo Hard Drives,2887.28,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Lenovo</li><li><strong>Manufacturer Part # :</strong> 4XB7A14690</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 4 TB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Average Seek Time :</strong> 8.5 ms</li><li><strong>Drive Interface Type :</strong> SAS 12.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 4XB7A14690</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Lenovo</li> ,,"Catalog, Search",Taxable Goods,4XB7A14690 Lenovo 4TB 7200RPM SAS 12Gbps Nearline Hot Swap 3.5-inch Internal Hard Drive for ThinkSystem DM7000H (30-Pack),,,btd-027499.jpeg,btd-027499.jpeg,btd-027499.jpeg,Lenovo,SAS 12.0 Gbps,4 TB,7200 RPM,3.5-inch,,
btd-027500,4XB7A14688,4XB7A14688 Lenovo 8TB 7200RPM SAS 12Gbps Nearline Hot Swap 3.5-inch Internal Hard Drive for ThinkSystem DM5000H (30-Pack),base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Lenovo Hard Drives,9694.64,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Lenovo</li><li><strong>Manufacturer Part # :</strong> 4XB7A14688</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 8 TB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Average Seek Time :</strong> 8.5 ms</li><li><strong>Drive Interface Type :</strong> SAS 12.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 4XB7A14688</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Lenovo</li> ,,"Catalog, Search",Taxable Goods,4XB7A14688 Lenovo 8TB 7200RPM SAS 12Gbps Nearline Hot Swap 3.5-inch Internal Hard Drive for ThinkSystem DM5000H (30-Pack),,,btd-027500.jpeg,btd-027500.jpeg,btd-027500.jpeg,Lenovo,SAS 12.0 Gbps,8 TB,7200 RPM,3.5-inch,,
btd-027501,00WG118,00WG118 Lenovo 8TB 7200RPM SAS 12Gbps DDN (4Kn) 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Lenovo Hard Drives,435.39,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Lenovo</li><li><strong>Manufacturer Part # :</strong> 00WG118</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 8 TB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SAS 12.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 00WG118</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Lenovo</li> ,,"Catalog, Search",Taxable Goods,00WG118 Lenovo 8TB 7200RPM SAS 12Gbps DDN (4Kn) 3.5-inch Internal Hard Drive,,,btd-027501.jpeg,btd-027501.jpeg,btd-027501.jpeg,Lenovo,SAS 12.0 Gbps,8 TB,7200 RPM,3.5-inch,,
btd-027502,00FN186,00FN186 Lenovo 6TB 7200RPM SATA 6Gbps Nearline (512e) 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Lenovo Hard Drives,207.73,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Lenovo</li><li><strong>Manufacturer Part # :</strong> 00FN186</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 6 TB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Average Seek Time :</strong> 8.5 ms</li><li><strong>Drive Interface Type :</strong> SATA 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 00FN186</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Lenovo</li> ,,"Catalog, Search",Taxable Goods,00FN186 Lenovo 6TB 7200RPM SATA 6Gbps Nearline (512e) 3.5-inch Internal Hard Drive,,,btd-027502.jpeg,btd-027502.jpeg,btd-027502.jpeg,Lenovo,SATA 6.0 Gbps,6 TB,7200 RPM,3.5-inch,,
btd-027503,4XB0G88713,4XB0G88713 Lenovo 6TB 7200RPM SATA 6Gbps Hot Swap 128MB Cache 3.5-inch Internal Hard Drive for ThinkServer RD350 RD550 RD650 and TD350,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Lenovo Hard Drives,207.73,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Lenovo</li><li><strong>Manufacturer Part # :</strong> 4XB0G88713</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 6 TB</li><li><strong>Cache :</strong> 128 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SATA 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 4XB0G88713</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Lenovo</li> ,,"Catalog, Search",Taxable Goods,4XB0G88713 Lenovo 6TB 7200RPM SATA 6Gbps Hot Swap 128MB Cache 3.5-inch Internal Hard Drive for ThinkServer RD350 RD550 RD650 and TD350,,,btd-027503.jpeg,btd-027503.jpeg,btd-027503.jpeg,Lenovo,SATA 6.0 Gbps,6 TB,7200 RPM,3.5-inch,128 MB,
btd-027504,4XB0G88798,4XB0G88798 Lenovo Enterprise 6TB 7200RPM SATA 6Gbps 3.5-inch Internal Hard Drive for ThinkServer TS150,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Lenovo Hard Drives,242.80,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Lenovo</li><li><strong>Manufacturer Part # :</strong> 4XB0G88798</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 6 TB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SATA 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 4XB0G88798</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Lenovo</li> ,,"Catalog, Search",Taxable Goods,4XB0G88798 Lenovo Enterprise 6TB 7200RPM SATA 6Gbps 3.5-inch Internal Hard Drive for ThinkServer TS150,,,btd-027504.jpeg,btd-027504.jpeg,btd-027504.jpeg,Lenovo,SATA 6.0 Gbps,6 TB,7200 RPM,3.5-inch,,
