sku,mpn,name,product_websites,attribute_set_code,product_type,storage,condition,categories,price,qty,is_in_stock,description,short_description,weight,visibility,tax_class_name,meta_title,meta_description,meta_keyword,image,small_image,thumbnail,brand,hard_drive_interface,hard_drive_capacity,hard_drive_speed,hard_drive_form_factor,hard_drive_cache,errors
btd-030222,MG07SCA12TE,MG07SCA12TE Toshiba MG07SCA Series 12TB 7200RPM SAS 12Gbps 256MB Cache (512e) 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Toshiba Hard Drives,249.42,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Toshiba</li><li><strong>Manufacturer Part # :</strong> MG07SCA12TE</li><li><strong>Product Line :</strong> MG07SCA</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 12 TB</li><li><strong>Cache :</strong> 256 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Average Seek Time :</strong> 8.5 ms</li><li><strong>Drive Interface Type :</strong> SAS 12.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> MG07SCA12TE</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Toshiba</li> ,,"Catalog, Search",Taxable Goods,MG07SCA12TE Toshiba MG07SCA Series 12TB 7200RPM SAS 12Gbps 256MB Cache (512e) 3.5-inch Internal Hard Drive,,,btd-030222.jpeg,btd-030222.jpeg,btd-030222.jpeg,Toshiba,SAS 12.0 Gbps,12 TB,7200 RPM,3.5-inch,256 MB,
btd-030223,MD06ACA600V,MD06ACA600V Toshiba Surveillance 6TB 7200RPM SATA 6Gbps 256MB Cache (512e) 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Toshiba Hard Drives,192.12,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Toshiba</li><li><strong>Manufacturer Part # :</strong> MD06ACA600V</li><li><strong>Product Line :</strong> Surveillance</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 6 TB</li><li><strong>Cache :</strong> 256 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Average Seek Time :</strong> 8.5 ms</li><li><strong>Drive Interface Type :</strong> SATA 6.0 Gbps</li><li><strong>Features :</strong> Advanced Format Sector TechnologyRotational Vibration Compensation Technology</li></ul>",<ul> <li><strong>Part No. :</strong> MD06ACA600V</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Toshiba</li> ,,"Catalog, Search",Taxable Goods,MD06ACA600V Toshiba Surveillance 6TB 7200RPM SATA 6Gbps 256MB Cache (512e) 3.5-inch Internal Hard Drive,,,btd-030223.jpeg,btd-030223.jpeg,btd-030223.jpeg,Toshiba,SATA 6.0 Gbps,6 TB,7200 RPM,3.5-inch,256 MB,
btd-030224,HDKFB06A0A90,HDKFB06A0A90 Toshiba 3TB 5400RPM SATA 6Gbps 16MB Cache 2.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Toshiba Hard Drives,357.84,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Toshiba</li><li><strong>Manufacturer Part # :</strong> HDKFB06A0A90</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 2.5-inch</li><li><strong>Capacity :</strong> 3 TB</li><li><strong>Cache :</strong> 16 MB</li><li><strong>Spindle Speed :</strong> 5400 RPM</li><li><strong>Average Seek Time :</strong> 14 ms</li><li><strong>Drive Interface Type :</strong> SATA 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> HDKFB06A0A90</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Toshiba</li> ,,"Catalog, Search",Taxable Goods,HDKFB06A0A90 Toshiba 3TB 5400RPM SATA 6Gbps 16MB Cache 2.5-inch Internal Hard Drive,,,btd-030224.jpeg,btd-030224.jpeg,btd-030224.jpeg,Toshiba,SATA 6.0 Gbps,3 TB,5400 RPM,2.5-inch,16 MB,
btd-030225,PH3400U1I72,PH3400U1I72 Toshiba Desktop 4TB 7200RPM SATA 6Gbps 128MB Cache 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Toshiba Hard Drives,105.09,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Toshiba</li><li><strong>Manufacturer Part # :</strong> PH3400U1I72</li><li><strong>Product Line :</strong> Desktop</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 4 TB</li><li><strong>Cache :</strong> 128 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Average Seek Time :</strong> 8.5 ms</li><li><strong>Drive Interface Type :</strong> SATA 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> PH3400U1I72</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Toshiba</li> ,,"Catalog, Search",Taxable Goods,PH3400U1I72 Toshiba Desktop 4TB 7200RPM SATA 6Gbps 128MB Cache 3.5-inch Internal Hard Drive,,,btd-030225.jpeg,btd-030225.jpeg,btd-030225.jpeg,Toshiba,SATA 6.0 Gbps,4 TB,7200 RPM,3.5-inch,128 MB,
btd-030226,MD03ACA400V,MD03ACA400V Toshiba Surveillance 4TB 7200RPM SATA 6Gbps 64MB Cache 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Toshiba Hard Drives,220.96,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Toshiba</li><li><strong>Manufacturer Part # :</strong> MD03ACA400V</li><li><strong>Product Line :</strong> Surveillance</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 4 TB</li><li><strong>Cache :</strong> 64 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Average Seek Time :</strong> 8.5 ms</li><li><strong>Drive Interface Type :</strong> SATA 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> MD03ACA400V</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Toshiba</li> ,,"Catalog, Search",Taxable Goods,MD03ACA400V Toshiba Surveillance 4TB 7200RPM SATA 6Gbps 64MB Cache 3.5-inch Internal Hard Drive,,,btd-030226.jpeg,btd-030226.jpeg,btd-030226.jpeg,Toshiba,SATA 6.0 Gbps,4 TB,7200 RPM,3.5-inch,64 MB,
btd-030227,MG07SCA14TEY,MG07SCA14TEY Toshiba MG07SCA Series 14TB 7200RPM SAS 12Gbps 256MB Cache (512e / SIE) 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Toshiba Hard Drives,245.86,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Toshiba</li><li><strong>Manufacturer Part # :</strong> MG07SCA14TEY</li><li><strong>Product Line :</strong> MG07SCA</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 14 TB</li><li><strong>Cache :</strong> 256 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Average Seek Time :</strong> 8.5 ms</li><li><strong>Drive Interface Type :</strong> SAS 12.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> MG07SCA14TEY</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Toshiba</li> ,,"Catalog, Search",Taxable Goods,MG07SCA14TEY Toshiba MG07SCA Series 14TB 7200RPM SAS 12Gbps 256MB Cache (512e / SIE) 3.5-inch Internal Hard Drive,,,btd-030227.jpeg,btd-030227.jpeg,btd-030227.jpeg,Toshiba,SAS 12.0 Gbps,14 TB,7200 RPM,3.5-inch,256 MB,
btd-030228,MG08ADA600E,MG08ADA600E Toshiba Enterprise Capacity MG08-D 6TB 7200RPM SATA 6Gbps 256MB Cache 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Toshiba Hard Drives,192.12,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Toshiba</li><li><strong>Manufacturer Part # :</strong> MG08ADA600E</li></ul>",<ul> <li><strong>Part No. :</strong> MG08ADA600E</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Toshiba</li> ,,"Catalog, Search",Taxable Goods,MG08ADA600E Toshiba Enterprise Capacity MG08-D 6TB 7200RPM SATA 6Gbps 256MB Cache 3.5-inch Internal Hard Drive,,,btd-030228.jpeg,btd-030228.jpeg,btd-030228.jpeg,Toshiba,,,,,,
btd-030229,HDWE160XZSTA,HDWE160XZSTA Toshiba X300 6TB 7200RPM SATA 6Gbps 128MB Cache (512e) 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Toshiba Hard Drives,299.79,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Toshiba</li><li><strong>Manufacturer Part # :</strong> HDWE160XZSTA</li><li><strong>Product Line :</strong> X300</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 6 TB</li><li><strong>Cache :</strong> 128 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Average Seek Time :</strong> 8.5 ms</li><li><strong>Drive Interface Type :</strong> SATA 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> HDWE160XZSTA</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Toshiba</li> ,,"Catalog, Search",Taxable Goods,HDWE160XZSTA Toshiba X300 6TB 7200RPM SATA 6Gbps 128MB Cache (512e) 3.5-inch Internal Hard Drive,,,btd-030229.jpeg,btd-030229.jpeg,btd-030229.jpeg,Toshiba,SATA 6.0 Gbps,6 TB,7200 RPM,3.5-inch,128 MB,
btd-030230,HDERS11GEA51,HDERS11GEA51 Toshiba 5TB 7200RPM SATA 6Gbps (512e) 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Toshiba Hard Drives,189.56,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Toshiba</li><li><strong>Manufacturer Part # :</strong> HDERS11GEA51</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 5 TB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Average Seek Time :</strong> 8.5 ms</li><li><strong>Drive Interface Type :</strong> SATA 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> HDERS11GEA51</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Toshiba</li> ,,"Catalog, Search",Taxable Goods,HDERS11GEA51 Toshiba 5TB 7200RPM SATA 6Gbps (512e) 3.5-inch Internal Hard Drive,,,btd-030230.jpeg,btd-030230.jpeg,btd-030230.jpeg,Toshiba,SATA 6.0 Gbps,5 TB,7200 RPM,3.5-inch,,
btd-030231,HDKPC08,HDKPC08 Toshiba Desktop 3TB 7200RPM SATA 6Gbps 64MB Cache (512e) 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Toshiba Hard Drives,177.34,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Toshiba</li><li><strong>Manufacturer Part # :</strong> HDKPC08</li><li><strong>Product Line :</strong> Desktop</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 3 TB</li><li><strong>Cache :</strong> 64 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Average Seek Time :</strong> 8.5 ms</li><li><strong>Drive Interface Type :</strong> SATA 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> HDKPC08</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Toshiba</li> ,,"Catalog, Search",Taxable Goods,HDKPC08 Toshiba Desktop 3TB 7200RPM SATA 6Gbps 64MB Cache (512e) 3.5-inch Internal Hard Drive,,,btd-030231.jpeg,btd-030231.jpeg,btd-030231.jpeg,Toshiba,SATA 6.0 Gbps,3 TB,7200 RPM,3.5-inch,64 MB,
