sku,mpn,name,product_websites,attribute_set_code,product_type,storage,condition,categories,price,qty,is_in_stock,description,short_description,weight,visibility,tax_class_name,meta_title,meta_description,meta_keyword,image,small_image,thumbnail,brand,hard_drive_interface,hard_drive_capacity,hard_drive_speed,hard_drive_form_factor,hard_drive_cache,errors
btd-027649,00YK046,00YK046 Lenovo 4TB 7200RPM SATA 6Gbps (512n) Simple Swap 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Lenovo Hard Drives,185.34,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Lenovo</li><li><strong>Manufacturer Part # :</strong> 00YK046</li></ul>",<ul> <li><strong>Part No. :</strong> 00YK046</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Lenovo</li> ,,"Catalog, Search",Taxable Goods,00YK046 Lenovo 4TB 7200RPM SATA 6Gbps (512n) Simple Swap 3.5-inch Internal Hard Drive,,,btd-027649.jpeg,btd-027649.jpeg,btd-027649.jpeg,Lenovo,,,,,,
btd-027650,00XH280,00XH280 Lenovo 10TB 7200RPM SATA 6Gbps (512e) 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Lenovo Hard Drives,241.40,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Lenovo</li><li><strong>Manufacturer Part # :</strong> 00XH280</li></ul>",<ul> <li><strong>Part No. :</strong> 00XH280</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Lenovo</li> ,,"Catalog, Search",Taxable Goods,00XH280 Lenovo 10TB 7200RPM SATA 6Gbps (512e) 3.5-inch Internal Hard Drive,,,btd-027650.jpeg,btd-027650.jpeg,btd-027650.jpeg,Lenovo,,,,,,
btd-027651,4XB0K12338,4XB0K12338 Lenovo Enterprise 6TB 7200RPM SATA 6Gbps Nearline (512e) 3.5-inch Internal Hard Drive for ThinkServer TS640,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Lenovo Hard Drives,242.80,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Lenovo</li><li><strong>Manufacturer Part # :</strong> 4XB0K12338</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 6 TB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SATA 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 4XB0K12338</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Lenovo</li> ,,"Catalog, Search",Taxable Goods,4XB0K12338 Lenovo Enterprise 6TB 7200RPM SATA 6Gbps Nearline (512e) 3.5-inch Internal Hard Drive for ThinkServer TS640,,,btd-027651.jpeg,btd-027651.jpeg,btd-027651.jpeg,Lenovo,SATA 6.0 Gbps,6 TB,7200 RPM,3.5-inch,,
btd-027652,00LF120,00LF120 Lenovo 4TB 7200RPM SATA 6Gbps (512n) 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Lenovo Hard Drives,185.34,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Lenovo</li><li><strong>Manufacturer Part # :</strong> 00LF120</li></ul>",<ul> <li><strong>Part No. :</strong> 00LF120</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Lenovo</li> ,,"Catalog, Search",Taxable Goods,00LF120 Lenovo 4TB 7200RPM SATA 6Gbps (512n) 3.5-inch Internal Hard Drive,,,btd-027652.jpeg,btd-027652.jpeg,btd-027652.jpeg,Lenovo,,,,,,
btd-027653,00YK034,00YK034 Lenovo 8TB 7200RPM SAS 12Gbps (512e) Hot Swap 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Lenovo Hard Drives,435.39,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Lenovo</li><li><strong>Manufacturer Part # :</strong> 00YK034</li></ul>",<ul> <li><strong>Part No. :</strong> 00YK034</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Lenovo</li> ,,"Catalog, Search",Taxable Goods,00YK034 Lenovo 8TB 7200RPM SAS 12Gbps (512e) Hot Swap 3.5-inch Internal Hard Drive,,,btd-027653.jpeg,btd-027653.jpeg,btd-027653.jpeg,Lenovo,,,,,,
btd-027654,00YG665,00YG665 Lenovo 8TB 7200RPM SAS 12Gbps Nearline 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Lenovo Hard Drives,435.39,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Lenovo</li><li><strong>Manufacturer Part # :</strong> 00YG665</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 8 TB</li><li><strong>Cache :</strong> 128 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Average Seek Time :</strong> 8.5 ms</li><li><strong>Drive Interface Type :</strong> SAS 12.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 00YG665</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Lenovo</li> ,,"Catalog, Search",Taxable Goods,00YG665 Lenovo 8TB 7200RPM SAS 12Gbps Nearline 3.5-inch Internal Hard Drive,,,btd-027654.jpeg,btd-027654.jpeg,btd-027654.jpeg,Lenovo,SAS 12.0 Gbps,8 TB,7200 RPM,3.5-inch,128 MB,
btd-027655,46W0551,46W0551 Lenovo 4TB 7200RPM SATA 6Gbps (512n) 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Lenovo Hard Drives,185.34,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Lenovo</li><li><strong>Manufacturer Part # :</strong> 46W0551</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 4 TB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SATA 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 46W0551</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Lenovo</li> ,,"Catalog, Search",Taxable Goods,46W0551 Lenovo 4TB 7200RPM SATA 6Gbps (512n) 3.5-inch Internal Hard Drive,,,btd-027655.jpeg,btd-027655.jpeg,btd-027655.jpeg,Lenovo,SATA 6.0 Gbps,4 TB,7200 RPM,3.5-inch,,
btd-027656,00FN148-RF,00FN148-RF Lenovo 4TB 7200RPM SATA 6Gbps Nearline 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Lenovo Hard Drives,185.34,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Lenovo</li><li><strong>Manufacturer Part # :</strong> 00FN148-RF</li></ul>",<ul> <li><strong>Part No. :</strong> 00FN148-RF</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Lenovo</li> ,,"Catalog, Search",Taxable Goods,00FN148-RF Lenovo 4TB 7200RPM SATA 6Gbps Nearline 3.5-inch Internal Hard Drive,,,btd-027656.jpeg,btd-027656.jpeg,btd-027656.jpeg,Lenovo,,,,,,
btd-027657,00YG667,00YG667 Lenovo 8TB 7200RPM SAS 12Gbps Nearline 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Lenovo Hard Drives,435.39,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Lenovo</li><li><strong>Manufacturer Part # :</strong> 00YG667</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 8 TB</li><li><strong>Cache :</strong> 128 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Average Seek Time :</strong> 8.5 ms</li><li><strong>Drive Interface Type :</strong> SAS 12.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 00YG667</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Lenovo</li> ,,"Catalog, Search",Taxable Goods,00YG667 Lenovo 8TB 7200RPM SAS 12Gbps Nearline 3.5-inch Internal Hard Drive,,,btd-027657.jpeg,btd-027657.jpeg,btd-027657.jpeg,Lenovo,SAS 12.0 Gbps,8 TB,7200 RPM,3.5-inch,128 MB,
btd-027658,4XB0G88713-06,4XB0G88713-06 Lenovo 6TB 7200RPM SATA 6Gbps Hot Swap 128MB Cache 3.5-inch Internal Hard Drive for ThinkServer RD350 RD550 RD650 and TD350,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Brand/Lenovo Hard Drives,207.73,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Lenovo</li><li><strong>Manufacturer Part # :</strong> 4XB0G88713-06</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 6 TB</li><li><strong>Cache :</strong> 128 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SATA 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 4XB0G88713-06</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Lenovo</li> ,,"Catalog, Search",Taxable Goods,4XB0G88713-06 Lenovo 6TB 7200RPM SATA 6Gbps Hot Swap 128MB Cache 3.5-inch Internal Hard Drive for ThinkServer RD350 RD550 RD650 and TD350,,,btd-027658.jpeg,btd-027658.jpeg,btd-027658.jpeg,Lenovo,SATA 6.0 Gbps,6 TB,7200 RPM,3.5-inch,128 MB,
