sku,mpn,name,product_websites,attribute_set_code,product_type,storage,condition,categories,price,qty,is_in_stock,description,short_description,weight,visibility,tax_class_name,meta_title,meta_description,meta_keyword,image,small_image,thumbnail,brand,hard_drive_interface,hard_drive_capacity,hard_drive_speed,hard_drive_form_factor,hard_drive_cache,errors
btd-035201,0B26333,0B26333 HGST Hitachi Ultrastar 7K3000 3TB 7200RPM SAS 6Gbps 64MB Cache 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Laptop/Desktop Capacities - 3TB HDD,66.21,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Hitachi</li><li><strong>Manufacturer Part # :</strong> 0B26333</li><li><strong>Product Line :</strong> Ultrastar</li><li><strong>Product Series :</strong> 7K3000</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 3 TB</li><li><strong>Cache :</strong> 64 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Average Seek Time :</strong> 7.6 ms</li><li><strong>Drive Interface Type :</strong> SAS 6.0 Gbps</li><li><strong>Features :</strong> Dual Stage Actuator (DSA)24x7 Accessibility for Enterprise-classEnhanced Rotational Vibration Safeguard (RVS)</li></ul>",<ul> <li><strong>Part No. :</strong> 0B26333</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Hitachi</li> ,,"Catalog, Search",Taxable Goods,0B26333 HGST Hitachi Ultrastar 7K3000 3TB 7200RPM SAS 6Gbps 64MB Cache 3.5-inch Internal Hard Drive,,,btd-035201.jpeg,btd-035201.jpeg,btd-035201.jpeg,Hitachi,SAS 6.0 Gbps,3 TB,7200 RPM,3.5-inch,64 MB,
btd-035202,SMEG3000S5xnN7.2,SMEG3000S5xnN7.2 HP 3TB 7200RPM SAS 6Gbps Nearline 3.5-inch Internal Hard Drive for StoreServ 7000,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Laptop/Desktop Capacities - 3TB HDD,114.20,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HP</li><li><strong>Manufacturer Part # :</strong> SMEG3000S5xnN7.2</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 3 TB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SAS 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> SMEG3000S5xnN7.2</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> HP</li> ,,"Catalog, Search",Taxable Goods,SMEG3000S5xnN7.2 HP 3TB 7200RPM SAS 6Gbps Nearline 3.5-inch Internal Hard Drive for StoreServ 7000,,,btd-035202.jpeg,btd-035202.jpeg,btd-035202.jpeg,HP,SAS 6.0 Gbps,3 TB,7200 RPM,3.5-inch,,
btd-035203,9ZM178-036,9ZM178-036 Seagate Constellation ES.3 3TB 7200RPM SATA 6Gbps 128MB Cache 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Laptop/Desktop Capacities - 3TB HDD,115.24,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Seagate</li><li><strong>Manufacturer Part # :</strong> 9ZM178-036</li><li><strong>Product Line :</strong> Constellation</li><li><strong>Product Series :</strong> ES.3</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 3 TB</li><li><strong>Cache :</strong> 128 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Average Seek Time :</strong> 8.5 ms</li><li><strong>Drive Interface Type :</strong> SATA 6.0 Gbps</li><li><strong>Features :</strong> Native Command QueueingPerpendicular Recording TechnologyOn-the-fly Error-correction Algorithms</li></ul>",<ul> <li><strong>Part No. :</strong> 9ZM178-036</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Seagate</li> ,,"Catalog, Search",Taxable Goods,9ZM178-036 Seagate Constellation ES.3 3TB 7200RPM SATA 6Gbps 128MB Cache 3.5-inch Internal Hard Drive,,,btd-035203.jpeg,btd-035203.jpeg,btd-035203.jpeg,Seagate,SATA 6.0 Gbps,3 TB,7200 RPM,3.5-inch,128 MB,
btd-035204,647275-B21,647275-B21 HP 3TB 7200RPM SATA 6Gbps Midline Quick Release 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Laptop/Desktop Capacities - 3TB HDD,496.56,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HP</li><li><strong>Manufacturer Part # :</strong> 647275-B21</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 3 TB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SATA 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 647275-B21</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> HP</li> ,,"Catalog, Search",Taxable Goods,647275-B21 HP 3TB 7200RPM SATA 6Gbps Midline Quick Release 3.5-inch Internal Hard Drive,,,btd-035204.jpeg,btd-035204.jpeg,btd-035204.jpeg,HP,SATA 6.0 Gbps,3 TB,7200 RPM,3.5-inch,,
btd-035205,DPTW9,DPTW9 Dell 3TB 7200RPM SAS 6Gbps 32MB Cache 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Laptop/Desktop Capacities - 3TB HDD,108.80,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Dell</li><li><strong>Manufacturer Part # :</strong> DPTW9</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 3 TB</li><li><strong>Cache :</strong> 32 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SAS 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> DPTW9</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Dell</li> ,,"Catalog, Search",Taxable Goods,DPTW9 Dell 3TB 7200RPM SAS 6Gbps 32MB Cache 3.5-inch Internal Hard Drive,,,btd-035205.jpeg,btd-035205.jpeg,btd-035205.jpeg,Dell,SAS 6.0 Gbps,3 TB,7200 RPM,3.5-inch,32 MB,
btd-030191,MG04SCA300EY,MG04SCA300EY Toshiba Enterprise Capacity 3TB 7200RPM SAS 6Gbps 64MB Cache (512e / SIE) 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Laptop/Desktop Capacities - 3TB HDD,97.32,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Toshiba</li><li><strong>Manufacturer Part # :</strong> MG04SCA300EY</li><li><strong>Product Line :</strong> Enterprise Capacity</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 3 TB</li><li><strong>Cache :</strong> 64 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Average Seek Time :</strong> 8.5 ms</li><li><strong>Drive Interface Type :</strong> SAS 6.0 Gbps</li><li><strong>Features :</strong> Sanitize Instant Erase (SIE)</li></ul>",<ul> <li><strong>Part No. :</strong> MG04SCA300EY</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Toshiba</li> ,,"Catalog, Search",Taxable Goods,MG04SCA300EY Toshiba Enterprise Capacity 3TB 7200RPM SAS 6Gbps 64MB Cache (512e / SIE) 3.5-inch Internal Hard Drive,,,btd-030191.jpeg,btd-030191.jpeg,btd-030191.jpeg,Toshiba,SAS 6.0 Gbps,3 TB,7200 RPM,3.5-inch,64 MB,
btd-035207,693672-002,693672-002 HP 3TB 7200RPM SAS 6Gbps Dual Port MidLine 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Laptop/Desktop Capacities - 3TB HDD,90.65,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HP</li><li><strong>Manufacturer Part # :</strong> 693672-002</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 3 TB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SAS 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> 693672-002</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> HP</li> ,,"Catalog, Search",Taxable Goods,693672-002 HP 3TB 7200RPM SAS 6Gbps Dual Port MidLine 3.5-inch Internal Hard Drive,,,btd-035207.jpeg,btd-035207.jpeg,btd-035207.jpeg,HP,SAS 6.0 Gbps,3 TB,7200 RPM,3.5-inch,,
btd-028385,E-X4021A-R6,E-X4021A-R6 NetApp 3TB 7200RPM SAS 6Gbps 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Laptop/Desktop Capacities - 3TB HDD,253.36,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> NetApp</li><li><strong>Manufacturer Part # :</strong> E-X4021A-R6</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 3 TB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SAS 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> E-X4021A-R6</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> NetApp</li> ,,"Catalog, Search",Taxable Goods,E-X4021A-R6 NetApp 3TB 7200RPM SAS 6Gbps 3.5-inch Internal Hard Drive,,,btd-028385.jpeg,btd-028385.jpeg,btd-028385.jpeg,NetApp,SAS 6.0 Gbps,3 TB,7200 RPM,3.5-inch,,
btd-035209,FTS:ETPNC3,FTS:ETPNC3 Fujitsu 3TB 7200RPM SAS 6Gbps Nearline 3.5-inch Internal Hard Drive for Eternus DX500 S3 and DX600 S3,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Laptop/Desktop Capacities - 3TB HDD,79.90,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Fujitsu</li><li><strong>Manufacturer Part # :</strong> FTS:ETPNC3</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 3 TB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Drive Interface Type :</strong> SAS 6.0 Gbps</li></ul>",<ul> <li><strong>Part No. :</strong> FTS:ETPNC3</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Fujitsu</li> ,,"Catalog, Search",Taxable Goods,FTS:ETPNC3 Fujitsu 3TB 7200RPM SAS 6Gbps Nearline 3.5-inch Internal Hard Drive for Eternus DX500 S3 and DX600 S3,,,btd-035209.jpeg,btd-035209.jpeg,btd-035209.jpeg,Fujitsu,SAS 6.0 Gbps,3 TB,7200 RPM,3.5-inch,,
btd-035210,ST3000NM0033-A1,ST3000NM0033-A1 Seagate Constellation ES.3 3TB 7200RPM SATA 6Gbps 128MB Cache (512n) 3.5-inch Internal Hard Drive,base,Default,simple,,Used,Default Category/Hard Drives/HDD by Capacity/Laptop/Desktop Capacities - 3TB HDD,115.24,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Seagate</li><li><strong>Manufacturer Part # :</strong> ST3000NM0033-A1</li><li><strong>Product Line :</strong> Constellation</li><li><strong>Product Series :</strong> ES.3</li><li><strong>Product Type :</strong> Internal Hard Drive</li><li><strong>Form Factor :</strong> 3.5-inch</li><li><strong>Capacity :</strong> 3 TB</li><li><strong>Cache :</strong> 128 MB</li><li><strong>Spindle Speed :</strong> 7200 RPM</li><li><strong>Average Seek Time :</strong> 8.5 ms</li><li><strong>Drive Interface Type :</strong> SATA 6.0 Gbps</li><li><strong>Features :</strong> Native Command QueueingPerpendicular Recording TechnologyOn-the-fly Error-correction Algorithms</li></ul>",<ul> <li><strong>Part No. :</strong> ST3000NM0033-A1</li>   <li><strong>Product Type:</strong> hard_drive</li>  <li><strong>Brand :</strong> Seagate</li> ,,"Catalog, Search",Taxable Goods,ST3000NM0033-A1 Seagate Constellation ES.3 3TB 7200RPM SATA 6Gbps 128MB Cache (512n) 3.5-inch Internal Hard Drive,,,btd-035210.jpeg,btd-035210.jpeg,btd-035210.jpeg,Seagate,SATA 6.0 Gbps,3 TB,7200 RPM,3.5-inch,128 MB,
