sku,mpn,name,product_websites,attribute_set_code,product_type,storage,condition,categories,price,qty,is_in_stock,description,short_description,weight,visibility,tax_class_name,meta_title,meta_description,meta_keyword,image,small_image,thumbnail,brand,cpu_form_factor,cpu_socket,errors
btd-045691,A55BM-PLUS/CSM,A55BM-PLUS/CSM ASUS Socket FM2+ AMD A55 Chipset AMD Athlon/A- Series Processors Support DDR3 4x DIMM 6x SATA 3.0Gb/s Micro ATX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Socket/Socket FM2+ Motherboards,156.21,5,1,"Specifications:
 <ul></ul>",<ul> <li><strong>Part No. :</strong> A55BM-PLUS/CSM</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> </li> ,,"Catalog, Search",Taxable Goods,A55BM-PLUS/CSM ASUS Socket FM2+ AMD A55 Chipset AMD Athlon/A,,,btd-045691.jpeg,btd-045691.jpeg,btd-045691.jpeg,,,,
btd-045692,A58M-A/US83,A58M-A/US83 ASUS A58M-A/USB3 Socket FM2+ AMD A58 Chipset AMD Athlon/ AMD A-Series Processors Support DDR3 2x DIMM 6x SATA 3.0Gb/s mATX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Socket/Socket FM2+ Motherboards,361.93,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> ASUS</li><li><strong>Manufacturer Part # :</strong> A58M-A/US83</li></ul>",<ul> <li><strong>Part No. :</strong> A58M-A/US83</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> ASUS</li> ,,"Catalog, Search",Taxable Goods,A58M-A/US83 ASUS A58M-A/USB3 Socket FM2+ AMD A58 Chipset AMD,,,btd-045692.jpeg,btd-045692.jpeg,btd-045692.jpeg,ASUS,,,
btd-045693,A88XME45,A88XME45 MSI A88XM-E45 Socket FM2+ AMD A88X Chipset AMD A-Series/ AMD Athlon Processors Support DDR3 4x DIMM 8x SATA3 Micro-ATX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Socket/Socket FM2+ Motherboards,151.49,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> MSI</li><li><strong>Manufacturer Part # :</strong> A88XME45</li><li><strong>Product Type :</strong> System Board</li><li><strong>Form Factor :</strong> Micro ATX</li><li><strong>CPU Socket Type :</strong> Socket FM2+</li><li><strong>Supported CPU(s) :</strong> AMD A-Series ProcessorAMD Athlon Processor</li><li><strong>Chipset :</strong> AMD A88X</li><li><strong>Number of Memory Slot(s) :</strong> 4</li><li><strong>Number of Memory Channel(s) :</strong> 2</li><li><strong>Supported Memory Standard(s) :</strong> PC3-10600 (DDR3-1333)PC3-12800 (DDR3-1600)PC3-14900 (DDR3-1866)</li><li><strong>Maximum Installed Memory :</strong> 64 GB</li><li><strong>Expansion Slots :</strong> PCI-E 3.0 x16PCI-E x1</li><li><strong>Storage Controller :</strong> SATA 6.0 Gbps</li><li><strong>Audio Controller :</strong> Realtek ALC887</li><li><strong>Network :</strong> Gigabit Ethernet</li><li><strong>Connectors/Ports :</strong> Chassis Fan ConnectorCPU Fan ConnectorPS/2 KeyboardPS/2 MouseRJ-45TPM HeaderUSB 2.0</li></ul>",<ul> <li><strong>Part No. :</strong> A88XME45</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> MSI</li> ,,"Catalog, Search",Taxable Goods,A88XME45 MSI A88XM-E45 Socket FM2+ AMD A88X Chipset AMD A-Se,,,btd-045693.jpeg,btd-045693.jpeg,btd-045693.jpeg,MSI,Micro ATX,Socket FM2+,
btd-040404,M6900199,M6900199 AMD Socket FM2+ Micro AMD A58 Chipset Micro-ATX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Socket/Socket FM2+ Motherboards,167.95,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> AMD</li><li><strong>Manufacturer Part # :</strong> M6900199</li><li><strong>Product Type :</strong> System Board</li><li><strong>Form Factor :</strong> Micro ATX</li><li><strong>CPU Socket Type :</strong> Socket FM2+</li><li><strong>Chipset :</strong> AMD A58</li></ul>",<ul> <li><strong>Part No. :</strong> M6900199</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> AMD</li> ,,"Catalog, Search",Taxable Goods,M6900199 AMD Socket FM2+ Micro AMD A58 Chipset Micro-ATX Mot,,,btd-040404.jpeg,btd-040404.jpeg,btd-040404.jpeg,AMD,Micro ATX,Socket FM2+,
btd-045695,A88X-PRO,A88X-PRO ASUS Socket FM2+ AMD A88X Chipset AMD Athlon/A Series Processor Support DDR3 4x DIMM 6x SATA 6.0Gb/s ATX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Socket/Socket FM2+ Motherboards,166.35,5,1,"Specifications:
 <ul></ul>",<ul> <li><strong>Part No. :</strong> A88X-PRO</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> </li> ,,"Catalog, Search",Taxable Goods,A88X-PRO ASUS Socket FM2+ AMD A88X Chipset AMD Athlon/A Seri,,,btd-045695.jpeg,btd-045695.jpeg,btd-045695.jpeg,,,,
btd-045696,7721-004R,7721-004R MSI A88XM-E45 Socket FM2+ AMD A88X Chipset AMD A-Series/ AMD Athlon Processors Support DDR3 4x DIMM 8x SATA3 Micro-ATX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Socket/Socket FM2+ Motherboards,119.92,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> MSI</li><li><strong>Manufacturer Part # :</strong> 7721-004R</li><li><strong>Product Type :</strong> System Board</li><li><strong>Form Factor :</strong> Micro ATX</li><li><strong>CPU Socket Type :</strong> Socket FM2+</li><li><strong>Supported CPU(s) :</strong> AMD A-Series ProcessorAMD Athlon Processor</li><li><strong>Chipset :</strong> AMD A88X</li><li><strong>Number of Memory Slot(s) :</strong> 4</li><li><strong>Number of Memory Channel(s) :</strong> 2</li><li><strong>Supported Memory Standard(s) :</strong> PC3-10600 (DDR3-1333)PC3-12800 (DDR3-1600)PC3-14900 (DDR3-1866)</li><li><strong>Maximum Installed Memory :</strong> 64 GB</li><li><strong>Expansion Slots :</strong> PCI-E 3.0 x16PCI-E x1</li><li><strong>Storage Controller :</strong> SATA 6.0 Gbps</li><li><strong>Audio Controller :</strong> Realtek ALC887</li><li><strong>Network :</strong> Gigabit Ethernet</li><li><strong>Connectors/Ports :</strong> Chassis Fan ConnectorCPU Fan ConnectorPS/2 KeyboardPS/2 MouseRJ-45TPM HeaderUSB 2.0</li></ul>",<ul> <li><strong>Part No. :</strong> 7721-004R</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> MSI</li> ,,"Catalog, Search",Taxable Goods,7721-004R MSI A88XM-E45 Socket FM2+ AMD A88X Chipset AMD A-S,,,btd-045696.jpeg,btd-045696.jpeg,btd-045696.jpeg,MSI,Micro ATX,Socket FM2+,
btd-045697,A78-G41-PC-MATE,A78-G41-PC-MATE MSI A78-G41 PC Mate Socket FM2+ AMD A55 Chipset AMD Athlon/ A-Series Processors Support DDR3 2x DIMM 6x SATA3 ATX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Socket/Socket FM2+ Motherboards,116.09,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> MSI</li><li><strong>Manufacturer Part # :</strong> A78-G41-PC-MATE</li></ul>",<ul> <li><strong>Part No. :</strong> A78-G41-PC-MATE</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> MSI</li> ,,"Catalog, Search",Taxable Goods,A78-G41-PC-MATE MSI A78-G41 PC Mate Socket FM2+ AMD A55 Chip,,,btd-045697.jpeg,btd-045697.jpeg,btd-045697.jpeg,MSI,,,
btd-045698,GA-F2A88XM-DS2 (rev 3.2),GA-F2A88XM-DS2 (rev 3.2) Gigabyte Socket FM2+ AMD A88X AMD A-Series/ Athlon Processors Support DDR3 2x DIMM 4x SATA 6.0Gb/s Micro-ATX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Socket/Socket FM2+ Motherboards,380.73,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Gigabyte Tech</li><li><strong>Manufacturer Part # :</strong> GA-F2A88XM-DS2 (rev 3.2)</li><li><strong>CPU Socket Type :</strong> Socket FM2+</li></ul>",<ul> <li><strong>Part No. :</strong> GA-F2A88XM-DS2 (rev 3.2)</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> Gigabyte Tech</li> ,,"Catalog, Search",Taxable Goods,GA-F2A88XM-DS2 (rev 3.2) Gigabyte Socket FM2+ AMD A88X AMD A,,,btd-045698.jpeg,btd-045698.jpeg,btd-045698.jpeg,Gigabyte Tech,,Socket FM2+,
btd-045699,GA-F2A88X-D3H(rev.3.0),GA-F2A88X-D3H(rev.3.0) Gigabyte Socket FM2+ AMD A88X Chipset AMD A-Series/ AMD Athlon Series Processors Support DDR3 4x DIMM 8x SATA 6.0Gb/s ATX Motherboard (Refurbished) GA-F2A88X-D3H (rev. 3.0),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Socket/Socket FM2+ Motherboards,380.73,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Gigabyte Tech</li><li><strong>Manufacturer Part # :</strong> GA-F2A88X-D3H(rev.3.0)</li><li><strong>CPU Socket Type :</strong> Socket FM2+</li></ul>",<ul> <li><strong>Part No. :</strong> GA-F2A88X-D3H(rev.3.0)</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> Gigabyte Tech</li> ,,"Catalog, Search",Taxable Goods,GA-F2A88X-D3H(rev.3.0) Gigabyte Socket FM2+ AMD A88X Chipset,,,btd-045699.jpeg,btd-045699.jpeg,btd-045699.jpeg,Gigabyte Tech,,Socket FM2+,
btd-045700,A88XM-E45,A88XM-E45 MSI Socket FM2+ AMD A88X Chipset AMD A-Series/ AMD Athlon Processors Support DDR3 4x DIMM 8x SATA3 Micro-ATX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Socket/Socket FM2+ Motherboards,161.55,5,1,"Specifications:
 <ul></ul>",<ul> <li><strong>Part No. :</strong> A88XM-E45</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> </li> ,,"Catalog, Search",Taxable Goods,A88XM-E45 MSI Socket FM2+ AMD A88X Chipset AMD A-Series/ AMD,,,btd-045700.jpeg,btd-045700.jpeg,btd-045700.jpeg,,,,
