sku,mpn,name,product_websites,attribute_set_code,product_type,storage,condition,categories,price,qty,is_in_stock,description,short_description,weight,visibility,tax_class_name,meta_title,meta_description,meta_keyword,image,small_image,thumbnail,brand,memory_type,memory_capacity,memory_bandwidth,memory_pins,memory_bus,memory_error_correction,memory_cycle_time,memory_cas,memory_rank,memory_voltage,errors
btd-023470,C1T59AV,C1T59AV HP 4GB PC3-12800 DDR3-1600MHz non-ECC Unbuffered CL11 240-Pin DIMM Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Bus Type/DDR3-1600MHz,62.07,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HP</li><li><strong>Manufacturer Part # :</strong> C1T59AV</li><li><strong>Memory Type :</strong> DDR3 SDRAM</li><li><strong>Capacity :</strong> 4GB</li><li><strong>Data Transfer Rate :</strong> 1600Mhz</li><li><strong>Pins :</strong> 240 Pin</li><li><strong>Bus Type :</strong> PC-12800</li><li><strong>Error Correction :</strong> Non-ECC</li><li><strong>Cycle Time :</strong> 1.25ns</li><li><strong>Cas :</strong> CL11</li><li><strong>Memory Clock :</strong> 200Mhz</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.5</li></ul>",<ul> <li><strong>Part No. :</strong> C1T59AV</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> HP</li> ,,"Catalog, Search",Taxable Goods,C1T59AV HP 4GB PC3-12800 DDR3-1600MHz non-ECC Unbuffered CL11 240-Pin DIMM Dual Rank Memory Module,,,btd-023470.jpeg,btd-023470.jpeg,btd-023470.jpeg,HP,DDR3 SDRAM,4GB,1600Mhz,240 Pin,PC-12800,Non-ECC,1.25ns,CL11,Rank 2,1.5,
btd-023471,ST102464BA160B,ST102464BA160B Micron 8GB PC3-12800 DDR3-1600MHz non-ECC Unbuffered CL11 240-Pin DIMM Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Bus Type/DDR3-1600MHz,86.62,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Micron</li><li><strong>Manufacturer Part # :</strong> ST102464BA160B</li><li><strong>Memory Type :</strong> DDR3 SDRAM</li><li><strong>Capacity :</strong> 8GB</li><li><strong>Data Transfer Rate :</strong> 1600Mhz</li><li><strong>Pins :</strong> 240 Pin</li><li><strong>Bus Type :</strong> PC-12800</li><li><strong>Error Correction :</strong> Non-ECC</li><li><strong>Cycle Time :</strong> 1.25ns</li><li><strong>Cas :</strong> CL11</li><li><strong>Memory Clock :</strong> 200Mhz</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.5</li></ul>",<ul> <li><strong>Part No. :</strong> ST102464BA160B</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Micron</li> ,,"Catalog, Search",Taxable Goods,ST102464BA160B Micron 8GB PC3-12800 DDR3-1600MHz non-ECC Unbuffered CL11 240-Pin DIMM Memory Module,,,btd-023471.jpeg,btd-023471.jpeg,btd-023471.jpeg,Micron,DDR3 SDRAM,8GB,1600Mhz,240 Pin,PC-12800,Non-ECC,1.25ns,CL11,Rank 2,1.5,
btd-023472,QW546AV,QW546AV HP 8GB PC3-12800 DDR3-1600MHz non-ECC Unbuffered CL11 240-Pin DIMM Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Bus Type/DDR3-1600MHz,86.62,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HP</li><li><strong>Manufacturer Part # :</strong> QW546AV</li><li><strong>Memory Type :</strong> DDR3 SDRAM</li><li><strong>Capacity :</strong> 8GB</li><li><strong>Data Transfer Rate :</strong> 1600Mhz</li><li><strong>Pins :</strong> 240 Pin</li><li><strong>Bus Type :</strong> PC-12800</li><li><strong>Error Correction :</strong> Non-ECC</li><li><strong>Cycle Time :</strong> 1.25ns</li><li><strong>Cas :</strong> CL11</li><li><strong>Memory Clock :</strong> 200Mhz</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.5</li></ul>",<ul> <li><strong>Part No. :</strong> QW546AV</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> HP</li> ,,"Catalog, Search",Taxable Goods,QW546AV HP 8GB PC3-12800 DDR3-1600MHz non-ECC Unbuffered CL11 240-Pin DIMM Dual Rank Memory Module,,,btd-023472.jpeg,btd-023472.jpeg,btd-023472.jpeg,HP,DDR3 SDRAM,8GB,1600Mhz,240 Pin,PC-12800,Non-ECC,1.25ns,CL11,Rank 2,1.5,
btd-023473,QW537AV,QW537AV HP 4GB PC3-12800 DDR3-1600MHz non-ECC Unbuffered CL11 240-Pin DIMM Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Bus Type/DDR3-1600MHz,62.07,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HP</li><li><strong>Manufacturer Part # :</strong> QW537AV</li><li><strong>Memory Type :</strong> DDR3 SDRAM</li><li><strong>Capacity :</strong> 4GB</li><li><strong>Data Transfer Rate :</strong> 1600Mhz</li><li><strong>Pins :</strong> 240 Pin</li><li><strong>Bus Type :</strong> PC-12800</li><li><strong>Error Correction :</strong> Non-ECC</li><li><strong>Cycle Time :</strong> 1.25ns</li><li><strong>Cas :</strong> CL11</li><li><strong>Memory Clock :</strong> 200Mhz</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.5</li></ul>",<ul> <li><strong>Part No. :</strong> QW537AV</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> HP</li> ,,"Catalog, Search",Taxable Goods,QW537AV HP 4GB PC3-12800 DDR3-1600MHz non-ECC Unbuffered CL11 240-Pin DIMM Dual Rank Memory Module,,,btd-023473.jpeg,btd-023473.jpeg,btd-023473.jpeg,HP,DDR3 SDRAM,4GB,1600Mhz,240 Pin,PC-12800,Non-ECC,1.25ns,CL11,Rank 2,1.5,
btd-023474,A5W82AV,A5W82AV HP 4GB PC3-12800 DDR3-1600MHz non-ECC Unbuffered CL11 204-Pin SoDimm Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Bus Type/DDR3-1600MHz,41.72,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HP</li><li><strong>Manufacturer Part # :</strong> A5W82AV</li><li><strong>Memory Type :</strong> SODIMM</li><li><strong>Capacity :</strong> 4GB</li><li><strong>Data Transfer Rate :</strong> 1600Mhz</li><li><strong>Pins :</strong> 204 Pin</li><li><strong>Bus Type :</strong> PC-12800</li><li><strong>Error Correction :</strong> Non-ECC</li><li><strong>Cycle Time :</strong> 1.25ns</li><li><strong>Cas :</strong> CL11</li><li><strong>Memory Clock :</strong> 200Mhz</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.5</li></ul>",<ul> <li><strong>Part No. :</strong> A5W82AV</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> HP</li> ,,"Catalog, Search",Taxable Goods,A5W82AV HP 4GB PC3-12800 DDR3-1600MHz non-ECC Unbuffered CL11 204-Pin SoDimm Dual Rank Memory Module,,,btd-023474.jpeg,btd-023474.jpeg,btd-023474.jpeg,HP,SODIMM,4GB,1600Mhz,204 Pin,PC-12800,Non-ECC,1.25ns,CL11,Rank 2,1.5,
btd-023475,KVR16LN11/8,KVR16LN11/8 Kingston 8GB PC3-12800 DDR3-1600MHz non-ECC Unbuffered CL11 240-Pin DIMM 1.35V Low Voltage Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Bus Type/DDR3-1600MHz,55.58,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Kingston</li><li><strong>Manufacturer Part # :</strong> KVR16LN11/8</li><li><strong>Memory Type :</strong> DDR3 SDRAM</li><li><strong>Capacity :</strong> 8GB</li><li><strong>Data Transfer Rate :</strong> 1600Mhz</li><li><strong>Pins :</strong> 240 Pin</li><li><strong>Bus Type :</strong> PC-12800</li><li><strong>Error Correction :</strong> Non-ECC</li><li><strong>Cycle Time :</strong> 1.25ns</li><li><strong>Cas :</strong> CL11</li><li><strong>Memory Clock :</strong> 200Mhz</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.35</li></ul>",<ul> <li><strong>Part No. :</strong> KVR16LN11/8</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Kingston</li> ,,"Catalog, Search",Taxable Goods,KVR16LN11/8 Kingston 8GB PC3-12800 DDR3-1600MHz non-ECC Unbuffered CL11 240-Pin DIMM 1.35V Low Voltage Memory Module,,,btd-023475.jpeg,btd-023475.jpeg,btd-023475.jpeg,Kingston,DDR3 SDRAM,8GB,1600Mhz,240 Pin,PC-12800,Non-ECC,1.25ns,CL11,Rank 2,1.35,
btd-023476,KAC-VR316L/8G,KAC-VR316L/8G Kingston 8GB PC3-12800 DDR3-1600MHz non-ECC Unbuffered CL11 240-Pin DIMM 1.35V Low Voltage Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Bus Type/DDR3-1600MHz,86.62,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Kingston</li><li><strong>Manufacturer Part # :</strong> KAC-VR316L/8G</li><li><strong>Memory Type :</strong> DDR3 SDRAM</li><li><strong>Capacity :</strong> 8GB</li><li><strong>Data Transfer Rate :</strong> 1600Mhz</li><li><strong>Pins :</strong> 240 Pin</li><li><strong>Bus Type :</strong> PC-12800</li><li><strong>Error Correction :</strong> Non-ECC</li><li><strong>Cycle Time :</strong> 1.25ns</li><li><strong>Cas :</strong> CL11</li><li><strong>Memory Clock :</strong> 200Mhz</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.35</li></ul>",<ul> <li><strong>Part No. :</strong> KAC-VR316L/8G</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Kingston</li> ,,"Catalog, Search",Taxable Goods,KAC-VR316L/8G Kingston 8GB PC3-12800 DDR3-1600MHz non-ECC Unbuffered CL11 240-Pin DIMM 1.35V Low Voltage Memory Module,,,btd-023476.jpeg,btd-023476.jpeg,btd-023476.jpeg,Kingston,DDR3 SDRAM,8GB,1600Mhz,240 Pin,PC-12800,Non-ECC,1.25ns,CL11,Rank 2,1.35,
btd-023477,B4U37ATR,B4U37ATR HP 8GB PC3-12800 DDR3-1600MHz non-ECC Unbuffered CL11 240-Pin DIMM Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Bus Type/DDR3-1600MHz,86.62,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HP</li><li><strong>Manufacturer Part # :</strong> B4U37ATR</li><li><strong>Memory Type :</strong> DDR3 SDRAM</li><li><strong>Capacity :</strong> 8GB</li><li><strong>Data Transfer Rate :</strong> 1600Mhz</li><li><strong>Pins :</strong> 240 Pin</li><li><strong>Bus Type :</strong> PC-12800</li><li><strong>Error Correction :</strong> Non-ECC</li><li><strong>Cycle Time :</strong> 1.25ns</li><li><strong>Cas :</strong> CL11</li><li><strong>Memory Clock :</strong> 200Mhz</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.5</li></ul>",<ul> <li><strong>Part No. :</strong> B4U37ATR</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> HP</li> ,,"Catalog, Search",Taxable Goods,B4U37ATR HP 8GB PC3-12800 DDR3-1600MHz non-ECC Unbuffered CL11 240-Pin DIMM Dual Rank Memory Module,,,btd-023477.jpeg,btd-023477.jpeg,btd-023477.jpeg,HP,DDR3 SDRAM,8GB,1600Mhz,240 Pin,PC-12800,Non-ECC,1.25ns,CL11,Rank 2,1.5,
btd-023478,CT51264BD160B.16FMD,CT51264BD160B.16FMD Crucial 4GB PC3-12800 DDR3-1600MHz non-ECC Unbuffered CL11 240-Pin DIMM 1.35V Low Voltage Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Bus Type/DDR3-1600MHz,62.07,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Crucial</li><li><strong>Manufacturer Part # :</strong> CT51264BD160B.16FMD</li><li><strong>Memory Type :</strong> DDR3 SDRAM</li><li><strong>Capacity :</strong> 4GB</li><li><strong>Data Transfer Rate :</strong> 1600Mhz</li><li><strong>Pins :</strong> 240 Pin</li><li><strong>Bus Type :</strong> PC-12800</li><li><strong>Error Correction :</strong> Non-ECC</li><li><strong>Cycle Time :</strong> 1.25ns</li><li><strong>Cas :</strong> CL11</li><li><strong>Memory Clock :</strong> 200Mhz</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.35</li></ul>",<ul> <li><strong>Part No. :</strong> CT51264BD160B.16FMD</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Crucial</li> ,,"Catalog, Search",Taxable Goods,CT51264BD160B.16FMD Crucial 4GB PC3-12800 DDR3-1600MHz non-ECC Unbuffered CL11 240-Pin DIMM 1.35V Low Voltage Memory Module,,,btd-023478.jpeg,btd-023478.jpeg,btd-023478.jpeg,Crucial,DDR3 SDRAM,4GB,1600Mhz,240 Pin,PC-12800,Non-ECC,1.25ns,CL11,Rank 2,1.35,
btd-023479,M471B1G73BH0-YK0,M471B1G73BH0-YK0 Samsung 8GB PC3-12800 DDR3-1600MHz non-ECC Unbuffered CL11 204-Pin SoDimm 1.35V Low Voltage Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Bus Type/DDR3-1600MHz,72.41,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Samsung</li><li><strong>Manufacturer Part # :</strong> M471B1G73BH0-YK0</li><li><strong>Memory Type :</strong> SODIMM</li><li><strong>Capacity :</strong> 8GB</li><li><strong>Data Transfer Rate :</strong> 1600Mhz</li><li><strong>Pins :</strong> 204 Pin</li><li><strong>Bus Type :</strong> PC-12800</li><li><strong>Error Correction :</strong> Non-ECC</li><li><strong>Cycle Time :</strong> 1.25ns</li><li><strong>Cas :</strong> CL11</li><li><strong>Memory Clock :</strong> 200Mhz</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.35</li></ul>",<ul> <li><strong>Part No. :</strong> M471B1G73BH0-YK0</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Samsung</li> ,,"Catalog, Search",Taxable Goods,M471B1G73BH0-YK0 Samsung 8GB PC3-12800 DDR3-1600MHz non-ECC Unbuffered CL11 204-Pin SoDimm 1.35V Low Voltage Dual Rank Memory Module,,,btd-023479.jpeg,btd-023479.jpeg,btd-023479.jpeg,Samsung,SODIMM,8GB,1600Mhz,204 Pin,PC-12800,Non-ECC,1.25ns,CL11,Rank 2,1.35,
