sku,mpn,name,product_websites,attribute_set_code,product_type,storage,condition,categories,price,qty,is_in_stock,description,short_description,weight,visibility,tax_class_name,meta_title,meta_description,meta_keyword,image,small_image,thumbnail,brand,memory_type,memory_capacity,memory_bandwidth,memory_pins,memory_bus,memory_error_correction,memory_cycle_time,memory_cas,memory_rank,memory_voltage,errors
btd-016035,KSM26RD4/32HAI,KSM26RD4/32HAI Kingston 32GB PC4-21300 DDR4-2666MHz Registered ECC CL19 288-Pin DIMM 1.2V Dual Rank Memory Module (Hynix A IDT),base,Default,simple,,Used,Default Category/Memory/Memory By Capacity/32GB Memory,98.06,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Kingston</li><li><strong>Manufacturer Part # :</strong> KSM26RD4/32HAI</li><li><strong>Memory Type :</strong> DDR4 SDRAM</li><li><strong>Capacity :</strong> 32GB</li><li><strong>Data Transfer Rate :</strong> 2666MHz</li><li><strong>Pins :</strong> 288 Pin</li><li><strong>Bus Type :</strong> PC-21300</li><li><strong>Error Correction :</strong> Registered ECC</li><li><strong>Cycle Time :</strong> 0.75ns</li><li><strong>Cas :</strong> CL19</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.2</li></ul>",<ul> <li><strong>Part No. :</strong> KSM26RD4/32HAI</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Kingston</li> ,,"Catalog, Search",Taxable Goods,KSM26RD4/32HAI Kingston 32GB PC4-21300 DDR4-2666MHz Registered ECC CL19 288-Pin DIMM 1.2V Dual Rank Memory Module (Hynix A IDT),,,btd-016035.jpeg,btd-016035.jpeg,btd-016035.jpeg,Kingston,DDR4 SDRAM,32GB,2666MHz,288 Pin,PC-21300,Registered ECC,0.75ns,CL19,Rank 2,1.2,
btd-013567,UCS-MR-X32G2RS-H,UCS-MR-X32G2RS-H Cisco 32GB PC4-21300 DDR4-2666MHz Registered ECC CL19 288-Pin DIMM 1.2V Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Capacity/32GB Memory,72.18,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Cisco</li><li><strong>Manufacturer Part # :</strong> UCS-MR-X32G2RS-H</li><li><strong>Memory Type :</strong> DDR4 SDRAM</li><li><strong>Capacity :</strong> 32GB</li><li><strong>Data Transfer Rate :</strong> 2666MHz</li><li><strong>Pins :</strong> 288 Pin</li><li><strong>Bus Type :</strong> PC-21300</li><li><strong>Error Correction :</strong> Registered ECC</li><li><strong>Cycle Time :</strong> 0.75ns</li><li><strong>Cas :</strong> CL19</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.2</li></ul>",<ul> <li><strong>Part No. :</strong> UCS-MR-X32G2RS-H</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Cisco</li> ,,"Catalog, Search",Taxable Goods,UCS-MR-X32G2RS-H Cisco 32GB PC4-21300 DDR4-2666MHz Registered ECC CL19 288-Pin DIMM 1.2V Dual Rank Memory Module,,,btd-013567.jpeg,btd-013567.jpeg,btd-013567.jpeg,Cisco,DDR4 SDRAM,32GB,2666MHz,288 Pin,PC-21300,Registered ECC,0.75ns,CL19,Rank 2,1.2,
btd-015394,HMA84GR7CJR4N-WMT8,HMA84GR7CJR4N-WMT8 Hynix 32GB PC4-23400 DDR4-2933MHz Registered ECC CL21 288-Pin DIMM 1.2V Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Capacity/32GB Memory,149.80,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Hynix</li><li><strong>Manufacturer Part # :</strong> HMA84GR7CJR4N-WMT8</li><li><strong>Memory Type :</strong> DDR4 SDRAM</li><li><strong>Capacity :</strong> 32GB</li><li><strong>Data Transfer Rate :</strong> 2933MHz</li><li><strong>Pins :</strong> 288 Pin</li><li><strong>Bus Type :</strong> PC-23400</li><li><strong>Error Correction :</strong> Registered ECC</li><li><strong>Cycle Time :</strong> 0.682ns</li><li><strong>Cas :</strong> CL21</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.2</li></ul>",<ul> <li><strong>Part No. :</strong> HMA84GR7CJR4N-WMT8</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Hynix</li> ,,"Catalog, Search",Taxable Goods,HMA84GR7CJR4N-WMT8 Hynix 32GB PC4-23400 DDR4-2933MHz Registered ECC CL21 288-Pin DIMM 1.2V Dual Rank Memory Module,,,btd-015394.jpeg,btd-015394.jpeg,btd-015394.jpeg,Hynix,DDR4 SDRAM,32GB,2933MHz,288 Pin,PC-23400,Registered ECC,0.682ns,CL21,Rank 2,1.2,
btd-013974,CT32G4LFD4266,CT32G4LFD4266 Crucial 32GB PC4-21300 DDR4-2666MHz ECC Registered CL19 288-Pin LRDIMM 1.2V Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Capacity/32GB Memory,137.28,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Crucial</li><li><strong>Manufacturer Part # :</strong> CT32G4LFD4266</li><li><strong>Memory Type :</strong> DDR4 LRDIMM</li><li><strong>Capacity :</strong> 32GB</li><li><strong>Data Transfer Rate :</strong> 2666MHz</li><li><strong>Pins :</strong> 288 Pin</li><li><strong>Bus Type :</strong> PC-21300</li><li><strong>Error Correction :</strong> Load Reduced ECC</li><li><strong>Cycle Time :</strong> 0.75ns</li><li><strong>Cas :</strong> CL19</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.2</li></ul>",<ul> <li><strong>Part No. :</strong> CT32G4LFD4266</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Crucial</li> ,,"Catalog, Search",Taxable Goods,CT32G4LFD4266 Crucial 32GB PC4-21300 DDR4-2666MHz ECC Registered CL19 288-Pin LRDIMM 1.2V Dual Rank Memory Module,,,btd-013974.jpeg,btd-013974.jpeg,btd-013974.jpeg,Crucial,DDR4 LRDIMM,32GB,2666MHz,288 Pin,PC-21300,Load Reduced ECC,0.75ns,CL19,Rank 2,1.2,
btd-016354,MTA36ASF4G72PZ-2G9E2TG,MTA36ASF4G72PZ-2G9E2TG Micron 32GB PC4-23400 DDR4-2933MHz Registered ECC CL21 288-Pin DIMM 1.2V Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Capacity/32GB Memory,97.86,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Micron</li><li><strong>Manufacturer Part # :</strong> MTA36ASF4G72PZ-2G9E2TG</li><li><strong>Memory Type :</strong> DDR4 SDRAM</li><li><strong>Capacity :</strong> 32GB</li><li><strong>Data Transfer Rate :</strong> 2933MHz</li><li><strong>Pins :</strong> 288 Pin</li><li><strong>Bus Type :</strong> PC-23400</li><li><strong>Error Correction :</strong> Registered ECC</li><li><strong>Cycle Time :</strong> 0.682ns</li><li><strong>Cas :</strong> CL21</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.2</li></ul>",<ul> <li><strong>Part No. :</strong> MTA36ASF4G72PZ-2G9E2TG</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Micron</li> ,,"Catalog, Search",Taxable Goods,MTA36ASF4G72PZ-2G9E2TG Micron 32GB PC4-23400 DDR4-2933MHz Registered ECC CL21 288-Pin DIMM 1.2V Dual Rank Memory Module,,,btd-016354.jpeg,btd-016354.jpeg,btd-016354.jpeg,Micron,DDR4 SDRAM,32GB,2933MHz,288 Pin,PC-23400,Registered ECC,0.682ns,CL21,Rank 2,1.2,
btd-018474,M393A4G40AB3-CWE,M393A4G40AB3-CWE Samsung 32GB PC4-25600 DDR4-3200MHz Registered ECC CL22 288-Pin DIMM 1.2V Single Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Capacity/32GB Memory,101.83,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Samsung</li><li><strong>Manufacturer Part # :</strong> M393A4G40AB3-CWE</li><li><strong>Memory Type :</strong> DDR4 SDRAM</li><li><strong>Capacity :</strong> 32GB</li><li><strong>Data Transfer Rate :</strong> 3200MHz</li><li><strong>Pins :</strong> 288 Pin</li><li><strong>Bus Type :</strong> PC-25600</li><li><strong>Error Correction :</strong> Registered ECC</li><li><strong>Cycle Time :</strong> 0.62ns</li><li><strong>Cas :</strong> CL22</li><li><strong>Rank :</strong> Rank 1</li><li><strong>Voltage :</strong> 1.2</li></ul>",<ul> <li><strong>Part No. :</strong> M393A4G40AB3-CWE</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Samsung</li> ,,"Catalog, Search",Taxable Goods,M393A4G40AB3-CWE Samsung 32GB PC4-25600 DDR4-3200MHz Registered ECC CL22 288-Pin DIMM 1.2V Single Rank Memory Module,,,btd-018474.jpeg,btd-018474.jpeg,btd-018474.jpeg,Samsung,DDR4 SDRAM,32GB,3200MHz,288 Pin,PC-25600,Registered ECC,0.62ns,CL22,Rank 1,1.2,
btd-015347,HMA84GR7AFR4N-VKB3,HMA84GR7AFR4N-VKB3 Hynix 32GB PC4-21300 DDR4-2666MHz Registered ECC CL19 288-Pin DIMM 1.2V Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Capacity/32GB Memory,61.84,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Hynix</li><li><strong>Manufacturer Part # :</strong> HMA84GR7AFR4N-VKB3</li><li><strong>Memory Type :</strong> DDR4 SDRAM</li><li><strong>Capacity :</strong> 32GB</li><li><strong>Data Transfer Rate :</strong> 2666MHz</li><li><strong>Pins :</strong> 288 Pin</li><li><strong>Bus Type :</strong> PC-21300</li><li><strong>Error Correction :</strong> Registered ECC</li><li><strong>Cycle Time :</strong> 0.75ns</li><li><strong>Cas :</strong> CL19</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.2</li></ul>",<ul> <li><strong>Part No. :</strong> HMA84GR7AFR4N-VKB3</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Hynix</li> ,,"Catalog, Search",Taxable Goods,HMA84GR7AFR4N-VKB3 Hynix 32GB PC4-21300 DDR4-2666MHz Registered ECC CL19 288-Pin DIMM 1.2V Dual Rank Memory Module,,,btd-015347.jpeg,btd-015347.jpeg,btd-015347.jpeg,Hynix,DDR4 SDRAM,32GB,2666MHz,288 Pin,PC-21300,Registered ECC,0.75ns,CL19,Rank 2,1.2,
btd-018476,868843-001,868843-001 HPE 32GB PC4-21300 DDR4-2666MHz Registered ECC CL19 288-Pin DIMM 1.2V Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Capacity/32GB Memory,72.18,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HPE</li><li><strong>Manufacturer Part # :</strong> 868843-001</li><li><strong>Memory Type :</strong> DDR4 SDRAM</li><li><strong>Capacity :</strong> 32GB</li><li><strong>Data Transfer Rate :</strong> 2666MHz</li><li><strong>Pins :</strong> 288 Pin</li><li><strong>Bus Type :</strong> PC-21300</li><li><strong>Error Correction :</strong> Registered ECC</li><li><strong>Cycle Time :</strong> 0.75ns</li><li><strong>Cas :</strong> CL19</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.2</li></ul>",<ul> <li><strong>Part No. :</strong> 868843-001</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> HPE</li> ,,"Catalog, Search",Taxable Goods,868843-001 HPE 32GB PC4-21300 DDR4-2666MHz Registered ECC CL19 288-Pin DIMM 1.2V Dual Rank Memory Module,,,btd-018476.jpeg,btd-018476.jpeg,btd-018476.jpeg,HPE,DDR4 SDRAM,32GB,2666MHz,288 Pin,PC-21300,Registered ECC,0.75ns,CL19,Rank 2,1.2,
btd-018477,838083-S21,838083-S21 HPE 32GB PC4-21300 DDR4-2666MHz Registered ECC CL19 288-Pin DIMM 1.2V Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Capacity/32GB Memory,72.18,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HPE</li><li><strong>Manufacturer Part # :</strong> 838083-S21</li><li><strong>Memory Type :</strong> DDR4 SDRAM</li><li><strong>Capacity :</strong> 32GB</li><li><strong>Data Transfer Rate :</strong> 2666MHz</li><li><strong>Pins :</strong> 288 Pin</li><li><strong>Bus Type :</strong> PC-21300</li><li><strong>Error Correction :</strong> Registered ECC</li><li><strong>Cycle Time :</strong> 0.75ns</li><li><strong>Cas :</strong> CL19</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.2</li></ul>",<ul> <li><strong>Part No. :</strong> 838083-S21</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> HPE</li> ,,"Catalog, Search",Taxable Goods,838083-S21 HPE 32GB PC4-21300 DDR4-2666MHz Registered ECC CL19 288-Pin DIMM 1.2V Dual Rank Memory Module,,,btd-018477.jpeg,btd-018477.jpeg,btd-018477.jpeg,HPE,DDR4 SDRAM,32GB,2666MHz,288 Pin,PC-21300,Registered ECC,0.75ns,CL19,Rank 2,1.2,
btd-018478,850881-001,850881-001 HPE 32GB PC4-21300 DDR4-2666MHz Registered ECC CL19 288-Pin DIMM 1.2V Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Capacity/32GB Memory,72.18,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HPE</li><li><strong>Manufacturer Part # :</strong> 850881-001</li><li><strong>Memory Type :</strong> DDR4 SDRAM</li><li><strong>Capacity :</strong> 32GB</li><li><strong>Data Transfer Rate :</strong> 2666MHz</li><li><strong>Pins :</strong> 288 Pin</li><li><strong>Bus Type :</strong> PC-21300</li><li><strong>Error Correction :</strong> Registered ECC</li><li><strong>Cycle Time :</strong> 0.75ns</li><li><strong>Cas :</strong> CL19</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.2</li></ul>",<ul> <li><strong>Part No. :</strong> 850881-001</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> HPE</li> ,,"Catalog, Search",Taxable Goods,850881-001 HPE 32GB PC4-21300 DDR4-2666MHz Registered ECC CL19 288-Pin DIMM 1.2V Dual Rank Memory Module,,,btd-018478.jpeg,btd-018478.jpeg,btd-018478.jpeg,HPE,DDR4 SDRAM,32GB,2666MHz,288 Pin,PC-21300,Registered ECC,0.75ns,CL19,Rank 2,1.2,
