sku,mpn,name,product_websites,attribute_set_code,product_type,storage,condition,categories,price,qty,is_in_stock,description,short_description,weight,visibility,tax_class_name,meta_title,meta_description,meta_keyword,image,small_image,thumbnail,brand,memory_type,memory_capacity,memory_bandwidth,memory_pins,memory_bus,memory_error_correction,memory_cycle_time,memory_cas,memory_rank,memory_voltage,errors
btd-025219,MT16HTF25664HY-667E1,MT16HTF25664HY-667E1 Micron 2GB PC2-5300 DDR2-667MHz non-ECC Unbuffered CL5 200-Pin SoDimm Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Bus Type/DDR2-667MHz,80.73,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Micron</li><li><strong>Manufacturer Part # :</strong> MT16HTF25664HY-667E1</li><li><strong>Memory Type :</strong> SODIMM</li><li><strong>Capacity :</strong> 2GB</li><li><strong>Data Transfer Rate :</strong> 667Mhz</li><li><strong>Pins :</strong> 200 Pin</li><li><strong>Bus Type :</strong> PC-5300</li><li><strong>Error Correction :</strong> Non-ECC</li><li><strong>Cycle Time :</strong> 6ns</li><li><strong>Cas :</strong> CL5</li><li><strong>Memory Clock :</strong> 166Mhz</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.8</li></ul>",<ul> <li><strong>Part No. :</strong> MT16HTF25664HY-667E1</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Micron</li> ,,"Catalog, Search",Taxable Goods,MT16HTF25664HY-667E1 Micron 2GB PC2-5300 DDR2-667MHz non-ECC Unbuffered CL5 200-Pin SoDimm Dual Rank Memory Module,,,btd-025219.jpeg,btd-025219.jpeg,btd-025219.jpeg,Micron,SODIMM,2GB,667Mhz,200 Pin,PC-5300,Non-ECC,6ns,CL5,Rank 2,1.8,
btd-025220,537665-001,537665-001 HP 2GB PC2-5300 DDR2-667MHz non-ECC Unbuffered CL5 200-Pin SoDimm Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Bus Type/DDR2-667MHz,80.73,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HP</li><li><strong>Manufacturer Part # :</strong> 537665-001</li><li><strong>Memory Type :</strong> SODIMM</li><li><strong>Capacity :</strong> 2GB</li><li><strong>Data Transfer Rate :</strong> 667Mhz</li><li><strong>Pins :</strong> 200 Pin</li><li><strong>Bus Type :</strong> PC-5300</li><li><strong>Error Correction :</strong> Non-ECC</li><li><strong>Cycle Time :</strong> 6ns</li><li><strong>Cas :</strong> CL5</li><li><strong>Memory Clock :</strong> 166Mhz</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.8</li></ul>",<ul> <li><strong>Part No. :</strong> 537665-001</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> HP</li> ,,"Catalog, Search",Taxable Goods,537665-001 HP 2GB PC2-5300 DDR2-667MHz non-ECC Unbuffered CL5 200-Pin SoDimm Dual Rank Memory Module,,,btd-025220.jpeg,btd-025220.jpeg,btd-025220.jpeg,HP,SODIMM,2GB,667Mhz,200 Pin,PC-5300,Non-ECC,6ns,CL5,Rank 2,1.8,
btd-025221,418857-001,418857-001 HP 2GB PC2-5300 DDR2-667MHz non-ECC Unbuffered CL5 200-Pin SoDimm Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Bus Type/DDR2-667MHz,80.73,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HP</li><li><strong>Manufacturer Part # :</strong> 418857-001</li><li><strong>Memory Type :</strong> SODIMM</li><li><strong>Capacity :</strong> 2GB</li><li><strong>Data Transfer Rate :</strong> 667Mhz</li><li><strong>Pins :</strong> 200 Pin</li><li><strong>Bus Type :</strong> PC-5300</li><li><strong>Error Correction :</strong> Non-ECC</li><li><strong>Cycle Time :</strong> 6ns</li><li><strong>Cas :</strong> CL5</li><li><strong>Memory Clock :</strong> 166Mhz</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.8</li></ul>",<ul> <li><strong>Part No. :</strong> 418857-001</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> HP</li> ,,"Catalog, Search",Taxable Goods,418857-001 HP 2GB PC2-5300 DDR2-667MHz non-ECC Unbuffered CL5 200-Pin SoDimm Dual Rank Memory Module,,,btd-025221.jpeg,btd-025221.jpeg,btd-025221.jpeg,HP,SODIMM,2GB,667Mhz,200 Pin,PC-5300,Non-ECC,6ns,CL5,Rank 2,1.8,
btd-025222,409967R-001,409967R-001 HP 2GB PC2-5300 DDR2-667MHz non-ECC Unbuffered CL5 200-Pin SoDimm Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Bus Type/DDR2-667MHz,80.73,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HP</li><li><strong>Manufacturer Part # :</strong> 409967R-001</li><li><strong>Memory Type :</strong> SODIMM</li><li><strong>Capacity :</strong> 2GB</li><li><strong>Data Transfer Rate :</strong> 667Mhz</li><li><strong>Pins :</strong> 200 Pin</li><li><strong>Bus Type :</strong> PC-5300</li><li><strong>Error Correction :</strong> Non-ECC</li><li><strong>Cycle Time :</strong> 6ns</li><li><strong>Cas :</strong> CL5</li><li><strong>Memory Clock :</strong> 166Mhz</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.8</li></ul>",<ul> <li><strong>Part No. :</strong> 409967R-001</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> HP</li> ,,"Catalog, Search",Taxable Goods,409967R-001 HP 2GB PC2-5300 DDR2-667MHz non-ECC Unbuffered CL5 200-Pin SoDimm Dual Rank Memory Module,,,btd-025222.jpeg,btd-025222.jpeg,btd-025222.jpeg,HP,SODIMM,2GB,667Mhz,200 Pin,PC-5300,Non-ECC,6ns,CL5,Rank 2,1.8,
btd-025223,KVR667D2K2S0/2GR,KVR667D2K2S0/2GR Kingston 2GB PC2-5300 DDR2-667MHz non-ECC Unbuffered CL5 200-Pin SoDimm Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Bus Type/DDR2-667MHz,46.86,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Kingston</li><li><strong>Manufacturer Part # :</strong> KVR667D2K2S0/2GR</li><li><strong>Memory Type :</strong> SODIMM</li><li><strong>Capacity :</strong> 2GB</li><li><strong>Data Transfer Rate :</strong> 667Mhz</li><li><strong>Pins :</strong> 200 Pin</li><li><strong>Bus Type :</strong> PC-5300</li><li><strong>Error Correction :</strong> Non-ECC</li><li><strong>Cycle Time :</strong> 6ns</li><li><strong>Cas :</strong> CL5</li><li><strong>Memory Clock :</strong> 166Mhz</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.8</li></ul>",<ul> <li><strong>Part No. :</strong> KVR667D2K2S0/2GR</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Kingston</li> ,,"Catalog, Search",Taxable Goods,KVR667D2K2S0/2GR Kingston 2GB PC2-5300 DDR2-667MHz non-ECC Unbuffered CL5 200-Pin SoDimm Dual Rank Memory Module,,,btd-025223.jpeg,btd-025223.jpeg,btd-025223.jpeg,Kingston,SODIMM,2GB,667Mhz,200 Pin,PC-5300,Non-ECC,6ns,CL5,Rank 2,1.8,
btd-025224,311-6804,311-6804 Dell 2GB PC2-5300 DDR2-667MHz Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Bus Type/DDR2-667MHz,80.73,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Dell</li><li><strong>Manufacturer Part # :</strong> 311-6804</li><li><strong>Memory Type :</strong> SODIMM</li><li><strong>Capacity :</strong> 2GB</li><li><strong>Data Transfer Rate :</strong> 667Mhz</li><li><strong>Pins :</strong> 200 Pin</li><li><strong>Bus Type :</strong> PC-5300</li><li><strong>Error Correction :</strong> Non-ECC</li><li><strong>Cycle Time :</strong> 6ns</li><li><strong>Cas :</strong> CL5</li><li><strong>Memory Clock :</strong> 166Mhz</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.8</li></ul>",<ul> <li><strong>Part No. :</strong> 311-6804</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Dell</li> ,,"Catalog, Search",Taxable Goods,311-6804 Dell 2GB PC2-5300 DDR2-667MHz Memory Module,,,btd-025224.jpeg,btd-025224.jpeg,btd-025224.jpeg,Dell,SODIMM,2GB,667Mhz,200 Pin,PC-5300,Non-ECC,6ns,CL5,Rank 2,1.8,
btd-013924,CT25664AA667,CT25664AA667 Crucial 2GB PC2-5300 DDR2-667MHz non-ECC Unbuffered CL5 240-Pin DIMM Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Bus Type/DDR2-667MHz,47.54,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Crucial</li><li><strong>Manufacturer Part # :</strong> CT25664AA667</li><li><strong>Memory Type :</strong> DDR2 SDRAM</li><li><strong>Capacity :</strong> 2GB</li><li><strong>Data Transfer Rate :</strong> 667Mhz</li><li><strong>Pins :</strong> 240 Pin</li><li><strong>Bus Type :</strong> PC-5300</li><li><strong>Error Correction :</strong> Non-ECC</li><li><strong>Cycle Time :</strong> 6ns</li><li><strong>Cas :</strong> CL5</li><li><strong>Memory Clock :</strong> 166Mhz</li><li><strong>Voltage :</strong> 1.8</li></ul>",<ul> <li><strong>Part No. :</strong> CT25664AA667</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Crucial</li> ,,"Catalog, Search",Taxable Goods,CT25664AA667 Crucial 2GB PC2-5300 DDR2-667MHz non-ECC Unbuffered CL5 240-Pin DIMM Memory Module,,,btd-013924.jpeg,btd-013924.jpeg,btd-013924.jpeg,Crucial,DDR2 SDRAM,2GB,667Mhz,240 Pin,PC-5300,Non-ECC,6ns,CL5,,1.8,
btd-025226,450367R-001,450367R-001 HP 2GB PC2-5300 DDR2-667MHz non-ECC Unbuffered CL5 240-Pin DIMM Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Bus Type/DDR2-667MHz,47.54,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HP</li><li><strong>Manufacturer Part # :</strong> 450367R-001</li><li><strong>Memory Type :</strong> DDR2 SDRAM</li><li><strong>Capacity :</strong> 2GB</li><li><strong>Data Transfer Rate :</strong> 667Mhz</li><li><strong>Pins :</strong> 240 Pin</li><li><strong>Bus Type :</strong> PC-5300</li><li><strong>Error Correction :</strong> Non-ECC</li><li><strong>Cycle Time :</strong> 6ns</li><li><strong>Cas :</strong> CL5</li><li><strong>Memory Clock :</strong> 166Mhz</li><li><strong>Voltage :</strong> 1.8</li></ul>",<ul> <li><strong>Part No. :</strong> 450367R-001</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> HP</li> ,,"Catalog, Search",Taxable Goods,450367R-001 HP 2GB PC2-5300 DDR2-667MHz non-ECC Unbuffered CL5 240-Pin DIMM Dual Rank Memory Module,,,btd-025226.jpeg,btd-025226.jpeg,btd-025226.jpeg,HP,DDR2 SDRAM,2GB,667Mhz,240 Pin,PC-5300,Non-ECC,6ns,CL5,,1.8,
btd-025227,RK123AV,RK123AV HP 2GB PC2-5300 DDR2-667MHz non-ECC Unbuffered CL5 200-Pin SoDimm Dual Rank Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Bus Type/DDR2-667MHz,80.73,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HP</li><li><strong>Manufacturer Part # :</strong> RK123AV</li><li><strong>Memory Type :</strong> SODIMM</li><li><strong>Capacity :</strong> 2GB</li><li><strong>Data Transfer Rate :</strong> 667Mhz</li><li><strong>Pins :</strong> 200 Pin</li><li><strong>Bus Type :</strong> PC-5300</li><li><strong>Error Correction :</strong> Non-ECC</li><li><strong>Cycle Time :</strong> 6ns</li><li><strong>Cas :</strong> CL5</li><li><strong>Memory Clock :</strong> 166Mhz</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.8</li></ul>",<ul> <li><strong>Part No. :</strong> RK123AV</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> HP</li> ,,"Catalog, Search",Taxable Goods,RK123AV HP 2GB PC2-5300 DDR2-667MHz non-ECC Unbuffered CL5 200-Pin SoDimm Dual Rank Memory Module,,,btd-025227.jpeg,btd-025227.jpeg,btd-025227.jpeg,HP,SODIMM,2GB,667Mhz,200 Pin,PC-5300,Non-ECC,6ns,CL5,Rank 2,1.8,
btd-025228,CT25664AC667.16FHZ,CT25664AC667.16FHZ Crucial 2GB PC2-5300 DDR2-667MHz non-ECC Unbuffered CL5 200-Pin SoDimm Memory Module,base,Default,simple,,Used,Default Category/Memory/Memory By Bus Type/DDR2-667MHz,80.73,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Crucial</li><li><strong>Manufacturer Part # :</strong> CT25664AC667.16FHZ</li><li><strong>Memory Type :</strong> SODIMM</li><li><strong>Capacity :</strong> 2GB</li><li><strong>Data Transfer Rate :</strong> 667Mhz</li><li><strong>Pins :</strong> 200 Pin</li><li><strong>Bus Type :</strong> PC-5300</li><li><strong>Error Correction :</strong> Non-ECC</li><li><strong>Cycle Time :</strong> 6ns</li><li><strong>Cas :</strong> CL5</li><li><strong>Memory Clock :</strong> 166Mhz</li><li><strong>Rank :</strong> Rank 2</li><li><strong>Voltage :</strong> 1.8</li></ul>",<ul> <li><strong>Part No. :</strong> CT25664AC667.16FHZ</li>   <li><strong>Product Type:</strong> Memory</li>  <li><strong>Brand :</strong> Crucial</li> ,,"Catalog, Search",Taxable Goods,CT25664AC667.16FHZ Crucial 2GB PC2-5300 DDR2-667MHz non-ECC Unbuffered CL5 200-Pin SoDimm Memory Module,,,btd-025228.jpeg,btd-025228.jpeg,btd-025228.jpeg,Crucial,SODIMM,2GB,667Mhz,200 Pin,PC-5300,Non-ECC,6ns,CL5,Rank 2,1.8,
