sku,mpn,name,product_websites,attribute_set_code,product_type,storage,condition,categories,price,qty,is_in_stock,description,short_description,weight,visibility,tax_class_name,meta_title,meta_description,meta_keyword,image,small_image,thumbnail,brand,cpu_form_factor,cpu_socket,errors
btd-042897,E210882PGA370,E210882PGA370 Intel Motherboard Socket PGA370 Pentium III (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Brand/Intel Motherboards,116.09,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Intel</li><li><strong>Manufacturer Part # :</strong> E210882PGA370</li><li><strong>CPU Socket Type :</strong> Socket 370</li></ul>",<ul> <li><strong>Part No. :</strong> E210882PGA370</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> Intel</li> ,,"Catalog, Search",Taxable Goods,E210882PGA370 Intel Motherboard Socket PGA370 Pentium III (R,,,btd-042897.jpeg,btd-042897.jpeg,btd-042897.jpeg,Intel,,Socket 370,
btd-042898,BOXDG33FBC,BOXDG33FBC Intel Classic DG33FB Desktop Motherboard Intel Chipset Socket TLGA-775 ATX Processor Support (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Brand/Intel Motherboards,136.51,5,1,"Specifications:
 <ul></ul>",<ul> <li><strong>Part No. :</strong> BOXDG33FBC</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> </li> ,,"Catalog, Search",Taxable Goods,BOXDG33FBC Intel Classic DG33FB Desktop Motherboard Intel Ch,,,btd-042898.jpeg,btd-042898.jpeg,btd-042898.jpeg,,,,
btd-042899,D915PCM,D915PCM Intel 915P Chipset Socket LGA-775 800MHz FSB micro-ATX Desktop Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Brand/Intel Motherboards,151.49,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Intel</li><li><strong>Manufacturer Part # :</strong> D915PCM</li></ul>",<ul> <li><strong>Part No. :</strong> D915PCM</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> Intel</li> ,,"Catalog, Search",Taxable Goods,D915PCM Intel 915P Chipset Socket LGA-775 800MHz FSB micro-A,,,btd-042899.jpeg,btd-042899.jpeg,btd-042899.jpeg,Intel,,,
btd-042900,KD945GTPLPAK10,KD945GTPLPAK10 Intel D945GTP Desktop Board MicroATX P4/PD/Cel-D LGA 775/ 4GB DDR2/ PRO/100 LAN/ SATA Motherboard (10-Pack) (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Brand/Intel Motherboards,86.56,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Intel</li><li><strong>Manufacturer Part # :</strong> KD945GTPLPAK10</li><li><strong>Product Type :</strong> System Board</li><li><strong>Form Factor :</strong> Micro ATX</li><li><strong>CPU Socket Type :</strong> LGA 775</li><li><strong>Supported CPU(s) :</strong> Intel Celeron D ProcessorIntel Pentium 4 Processor</li><li><strong>FSB Speed (Maximum) :</strong> 1066 MHz</li><li><strong>Supported CPU Technologies :</strong> Hyper-Threading Technology</li><li><strong>Chipset :</strong> Intel 945G Express</li><li><strong>South Bridge Chipset :</strong> Intel ICH7</li><li><strong>Number of Memory Slot(s) :</strong> 4</li><li><strong>Supported Memory Standard(s) :</strong> PC2-3200 (DDR2-400)PC2-4200 (DDR2-533)</li><li><strong>Maximum Installed Memory :</strong> 4 GB</li><li><strong>Expansion Slots :</strong> PCIPCI Express x1PCI Express x16</li><li><strong>Storage Controller :</strong> Floppy ConnectorSerial-ATA 3.0 Gbps</li><li><strong>On-Board Video Controller :</strong> Intel Graphics Media Accelerator 950</li><li><strong>Audio Controller :</strong> IDT C-Major STAC 9220</li><li><strong>Network :</strong> Fast Ethernet</li><li><strong>Connectors/Ports :</strong> ParallelPS/2RJ-45 (Ethernet)SerialUSB 2.0Video-Out</li><li><strong>Features :</strong> Dual Channel Memory ArchitectureIntel Precision Cooling Technology</li></ul>",<ul> <li><strong>Part No. :</strong> KD945GTPLPAK10</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> Intel</li> ,,"Catalog, Search",Taxable Goods,KD945GTPLPAK10 Intel D945GTP Desktop Board MicroATX P4/PD/Ce,,,btd-042900.jpeg,btd-042900.jpeg,btd-042900.jpeg,Intel,Micro ATX,LGA 775,
btd-042901,D850EMVR,D850EMVR Intel P4 478 /850E/RDRAM/ Audio/USB2.0/ ATX/Retail Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Brand/Intel Motherboards,177.30,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Intel</li><li><strong>Manufacturer Part # :</strong> D850EMVR</li></ul>",<ul> <li><strong>Part No. :</strong> D850EMVR</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> Intel</li> ,,"Catalog, Search",Taxable Goods,D850EMVR Intel P4 478 /850E/RDRAM/ Audio/USB2.0/ ATX/Retail ,,,btd-042901.jpeg,btd-042901.jpeg,btd-042901.jpeg,Intel,,,
btd-042902,BOXDG965RYCK,BOXDG965RYCK Intel Desktop Motherboard Socket T LGA 775 1 x Bulk Pack 1 x Processor Support (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Brand/Intel Motherboards,135.60,5,1,"Specifications:
 <ul></ul>",<ul> <li><strong>Part No. :</strong> BOXDG965RYCK</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> </li> ,,"Catalog, Search",Taxable Goods,BOXDG965RYCK Intel Desktop Motherboard Socket T LGA 775 1 x ,,,btd-042902.jpeg,btd-042902.jpeg,btd-042902.jpeg,,,,
btd-042903,OEMD915GUXKG1,OEMD915GUXKG1 Intel D915GUXLK Socket LGA 775 Intel 915G + ICH6 Chipset Intel Pentium 4/ Pentium 4 Extreme Edition Processors Support DDR2 4x DIMM 4x SATA 1.50Gb/s Micro-ATX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Brand/Intel Motherboards,164.03,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Intel</li><li><strong>Manufacturer Part # :</strong> OEMD915GUXKG1</li></ul>",<ul> <li><strong>Part No. :</strong> OEMD915GUXKG1</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> Intel</li> ,,"Catalog, Search",Taxable Goods,OEMD915GUXKG1 Intel D915GUXLK Socket LGA 775 Intel 915G + IC,,,btd-042903.jpeg,btd-042903.jpeg,btd-042903.jpeg,Intel,,,
btd-042904,SE7501WV2,SE7501WV2 Intel Socket 604 Intel E7501 Chipset Intel Xeon Processors Support DDR 6x DIMM 2x ATA 100 SSI TEB Server Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Brand/Intel Motherboards,583.73,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Intel</li><li><strong>Manufacturer Part # :</strong> SE7501WV2</li><li><strong>Product Type :</strong> Server Motherboard</li><li><strong>Form Factor :</strong> SSI CEB</li><li><strong>CPU Socket Type :</strong> PGA604</li><li><strong>Supported CPU(s) :</strong> Intel Xeon Processor</li><li><strong>Chipset :</strong> Intel E7501</li><li><strong>Number of Memory Slot(s) :</strong> 6</li><li><strong>Supported Memory Standard(s) :</strong> PC-1600 (DDR-200)PC-2100 (DDR-266)</li><li><strong>Maximum Installed Memory :</strong> 12 GB</li><li><strong>Expansion Slots :</strong> PCI-X</li><li><strong>Storage Controller Details :</strong> ATA-100</li><li><strong>Network :</strong> Gigabit Ethernet</li><li><strong>Connectors/Ports :</strong> PS/2 KeyboardPS/2 MouseRJ-45USBVGA</li></ul>",<ul> <li><strong>Part No. :</strong> SE7501WV2</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> Intel</li> ,,"Catalog, Search",Taxable Goods,SE7501WV2 Intel Socket 604 Intel E7501 Chipset Intel Xeon Pr,,,btd-042904.jpeg,btd-042904.jpeg,btd-042904.jpeg,Intel,SSI CEB,PGA604,
btd-042905,BLKDG33TLM,BLKDG33TLM Intel DG33TL G33 Express Chipset Socket LGA 775 micro-ATX Desktop Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Brand/Intel Motherboards,151.49,5,1,"Specifications:
 <ul></ul>",<ul> <li><strong>Part No. :</strong> BLKDG33TLM</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> </li> ,,"Catalog, Search",Taxable Goods,BLKDG33TLM Intel DG33TL G33 Express Chipset Socket LGA 775 m,,,btd-042905.jpeg,btd-042905.jpeg,btd-042905.jpeg,,,,
btd-042906,BOXDG31PRC,BOXDG31PRC Intel Classic DG31PR Desktop Motherboard Socket LGA-775 1 x Processor Support (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Brand/Intel Motherboards,225.06,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Intel</li><li><strong>Manufacturer Part # :</strong> BOXDG31PRC</li><li><strong>Product Type :</strong> System Board</li><li><strong>Form Factor :</strong> Micro ATX</li><li><strong>CPU Socket Type :</strong> LGA 775</li><li><strong>Supported CPU(s) :</strong> Intel Celeron ProcessorIntel Core2 Duo Desktop ProcessorIntel Core2 Quad ProcessorIntel Pentium Dual-Core Processor</li><li><strong>FSB Speed (Maximum) :</strong> 1333 MHz</li><li><strong>Supported CPU Technologies :</strong> Dual CoreEnhanced Intel Speedstep TechnologyExecute Disable BitHyper-Threading TechnologyIdle StatesIntel 64 ArchitectureQuad CoreThermal Monitoring Technologies</li><li><strong>Chipset :</strong> Intel G31 Express</li><li><strong>South Bridge Chipset :</strong> Intel ICH7</li><li><strong>Number of Memory Slot(s) :</strong> 2</li><li><strong>Supported Memory Standard(s) :</strong> PC2-5300 (DDR2-667)PC2-6400 (DDR2-800)</li><li><strong>Maximum Installed Memory :</strong> 4 GB</li><li><strong>Expansion Slots :</strong> PCIPCI Express x1PCI Express x16</li><li><strong>Storage Controller :</strong> (ATA-6) Ultra ATA/100Floppy ConnectorSerial-ATA 3.0 Gbps</li><li><strong>On-Board Video Controller :</strong> Intel Graphics Media Accelerator 3100</li><li><strong>Audio Controller :</strong> Realtek ALC888</li><li><strong>Network :</strong> Gigabit Ethernet</li><li><strong>Connectors/Ports :</strong> Audio-InAudio-OutMicrophonePS/2RJ-45 (Ethernet)USB 2.0Video-Out</li><li><strong>Features :</strong> Memory:Dual Channel ArchitectureBIOS:ACPI supportSMBIOS supportHardware:System VoltageCPU Fan TachometerChassis TemperatureCPU Core TemperatureChassis Fan TachometerSleep / Wake Up:Mouse Wake UpKeyboard Wake UpWake on USB PortWake on LAN (WOL)Wake on PCI Devicesuspend to RAM (STR)</li></ul>",<ul> <li><strong>Part No. :</strong> BOXDG31PRC</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> Intel</li> ,,"Catalog, Search",Taxable Goods,BOXDG31PRC Intel Classic DG31PR Desktop Motherboard Socket L,,,btd-042906.jpeg,btd-042906.jpeg,btd-042906.jpeg,Intel,Micro ATX,LGA 775,
