sku,mpn,name,product_websites,attribute_set_code,product_type,storage,condition,categories,price,qty,is_in_stock,description,short_description,weight,visibility,tax_class_name,meta_title,meta_description,meta_keyword,image,small_image,thumbnail,brand,cpu_form_factor,cpu_socket,errors
btd-047884,BLKD925XCVLK,BLKD925XCVLK Intel 925XC Desktop Board MicroATX P4/P4 Ext LGA 775/ 4GB DDR/ 10/100 LAN/ IDE SATA Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Type/Desktop Motherboards,90.82,5,1,"Specifications:
 <ul></ul>",<ul> <li><strong>Part No. :</strong> BLKD925XCVLK</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> </li> ,,"Catalog, Search",Taxable Goods,BLKD925XCVLK Intel 925XC Desktop Board MicroATX P4/P4 Ext LGA 775/ 4GB DDR/ 10/100 LAN/ IDE SATA Motherboard (Refurbished),,,btd-047884.jpeg,btd-047884.jpeg,btd-047884.jpeg,,,,
btd-047885,JP561,JP561 Dell System Board (Motherboard) For Optiplex 330 Desktop (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Type/Desktop Motherboards,151.49,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Dell</li><li><strong>Manufacturer Part # :</strong> JP561</li><li><strong>Product Type :</strong> System Board</li></ul>",<ul> <li><strong>Part No. :</strong> JP561</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> Dell</li> ,,"Catalog, Search",Taxable Goods,JP561 Dell System Board (Motherboard) For Optiplex 330 Desktop (Refurbished),,,btd-047885.jpeg,btd-047885.jpeg,btd-047885.jpeg,Dell,,,
btd-047886,D845GLADL,D845GLADL Intel D845GLAD Desktop Motherboard Socket PGA-478 400MHz FSB 845GL Chipset 2 x Processor Support (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Type/Desktop Motherboards,250.89,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Intel</li><li><strong>Manufacturer Part # :</strong> D845GLADL</li></ul>",<ul> <li><strong>Part No. :</strong> D845GLADL</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> Intel</li> ,,"Catalog, Search",Taxable Goods,D845GLADL Intel D845GLAD Desktop Motherboard Socket PGA-478 400MHz FSB 845GL Chipset 2 x Processor Support (Refurbished),,,btd-047886.jpeg,btd-047886.jpeg,btd-047886.jpeg,Intel,,,
btd-047887,BLKDG965MQMKRPAK10,BLKDG965MQMKRPAK10 Intel G965 Desktop Board MicroBTX Core2Duo/PD/P4/CelD/ 8GB DDR2/ GBit LAN LGA 775 Motherboard (10-Pack) (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Type/Desktop Motherboards,704.70,5,1,"Specifications:
 <ul></ul>",<ul> <li><strong>Part No. :</strong> BLKDG965MQMKRPAK10</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> </li> ,,"Catalog, Search",Taxable Goods,BLKDG965MQMKRPAK10 Intel G965 Desktop Board MicroBTX Core2Duo/PD/P4/CelD/ 8GB DDR2/ GBit LAN LGA 775 Motherboard (10-Pack) (Refurbished),,,btd-047887.jpeg,btd-047887.jpeg,btd-047887.jpeg,,,,
btd-047888,437348-001,437348-001 HP System Board (MotherBoard) for Business Desktop DC7800 SFF PC (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Type/Desktop Motherboards,124.37,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HP</li><li><strong>Manufacturer Part # :</strong> 437348-001</li><li><strong>Product Type :</strong> System Board</li><li><strong>Additional Information :</strong> For Business Desktop DC7800 SFF PC</li></ul>",<ul> <li><strong>Part No. :</strong> 437348-001</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> HP</li> ,,"Catalog, Search",Taxable Goods,437348-001 HP System Board (MotherBoard) for Business Desktop DC7800 SFF PC (Refurbished),,,btd-047888.jpeg,btd-047888.jpeg,btd-047888.jpeg,HP,,,
btd-047889,BLKD945GBOLKR,BLKD945GBOLKR Intel D945GBO Desktop Motherboard Socket LGA-775 800MHz FSB (1 x Single Pack) (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Type/Desktop Motherboards,151.49,5,1,"Specifications:
 <ul></ul>",<ul> <li><strong>Part No. :</strong> BLKD945GBOLKR</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> </li> ,,"Catalog, Search",Taxable Goods,BLKD945GBOLKR Intel D945GBO Desktop Motherboard Socket LGA-775 800MHz FSB (1 x Single Pack) (Refurbished),,,btd-047889.jpeg,btd-047889.jpeg,btd-047889.jpeg,,,,
btd-047890,KD915GAGLPAK10,KD915GAGLPAK10 Intel D915GAGL Desktop Board MicroATX P4 LGA 775/ 4GB DDR/ 10/100 LAN/ SATA Motherboard (10 pack) (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Type/Desktop Motherboards,716.82,5,1,"Specifications:
 <ul></ul>",<ul> <li><strong>Part No. :</strong> KD915GAGLPAK10</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> </li> ,,"Catalog, Search",Taxable Goods,KD915GAGLPAK10 Intel D915GAGL Desktop Board MicroATX P4 LGA 775/ 4GB DDR/ 10/100 LAN/ SATA Motherboard (10 pack) (Refurbished),,,btd-047890.jpeg,btd-047890.jpeg,btd-047890.jpeg,,,,
btd-047193,D945GCZL,D945GCZL Intel Desktop Motherboard 945G Chipset Socket LGA-775 1 x Processor Support (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Type/Desktop Motherboards,151.49,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> Intel</li><li><strong>Manufacturer Part # :</strong> D945GCZL</li></ul>",<ul> <li><strong>Part No. :</strong> D945GCZL</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> Intel</li> ,,"Catalog, Search",Taxable Goods,D945GCZL Intel Desktop Motherboard 945G Chipset Socket LGA-775 1 x Processor Support (Refurbished),,,btd-047193.jpeg,btd-047193.jpeg,btd-047193.jpeg,Intel,,,
btd-047892,IONITX-C-U,IONITX-C-U ZOTAC Desktop Board nVIDIA Hyper-Threading Technology 533MHz FSB 4GB DDR2 SDRAM DDR2-800/PC2-6400 DDR2-667/PC2-5300 Mini ITX (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Type/Desktop Motherboards,183.53,5,1,"Specifications:
 <ul></ul>",<ul> <li><strong>Part No. :</strong> IONITX-C-U</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> </li> ,,"Catalog, Search",Taxable Goods,IONITX-C-U ZOTAC Desktop Board nVIDIA Hyper-Threading Technology 533MHz FSB 4GB DDR2 SDRAM DDR2-800/PC2-6400 DDR2-667/PC2-5300 Mini ITX (Refurbished),,,btd-047892.jpeg,btd-047892.jpeg,btd-047892.jpeg,,,,
btd-042103,D6530-60005,D6530-60005 HP System Board (Motherboard) for Vectra Desktop VL-609,base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Type/Desktop Motherboards,184.60,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> HP</li><li><strong>Manufacturer Part # :</strong> D6530-60005</li></ul>",<ul> <li><strong>Part No. :</strong> D6530-60005</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> HP</li> ,,"Catalog, Search",Taxable Goods,D6530-60005 HP System Board (Motherboard) for Vectra Desktop VL-609,,,btd-042103.jpeg,btd-042103.jpeg,btd-042103.jpeg,HP,,,
