sku,mpn,name,product_websites,attribute_set_code,product_type,storage,condition,categories,price,qty,is_in_stock,description,short_description,weight,visibility,tax_class_name,meta_title,meta_description,meta_keyword,image,small_image,thumbnail,brand,cpu_form_factor,cpu_socket,errors
btd-040400,GA-7IX,GA-7IX AMD System Board (Motherboard) Agpset Slot A CPU Atx (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Brand/AMD Motherboards,365.96,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> AMD</li><li><strong>Manufacturer Part # :</strong> GA-7IX</li><li><strong>Form Factor :</strong> ATX</li></ul>",<ul> <li><strong>Part No. :</strong> GA-7IX</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> AMD</li> ,,"Catalog, Search",Taxable Goods,GA-7IX AMD System Board (Motherboard) Agpset Slot A CPU Atx ,,,btd-040400.jpeg,btd-040400.jpeg,btd-040400.jpeg,AMD,ATX,,
btd-040401,M6900197,M6900197 AMD A58 Chipset Socket FM2+ micro-ATX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Brand/AMD Motherboards,136.04,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> AMD</li><li><strong>Manufacturer Part # :</strong> M6900197</li><li><strong>Product Type :</strong> System Board</li><li><strong>Form Factor :</strong> Micro ATX</li><li><strong>CPU Socket Type :</strong> Socket FM2+</li></ul>",<ul> <li><strong>Part No. :</strong> M6900197</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> AMD</li> ,,"Catalog, Search",Taxable Goods,M6900197 AMD A58 Chipset Socket FM2+ micro-ATX Motherboard (,,,btd-040401.jpeg,btd-040401.jpeg,btd-040401.jpeg,AMD,Micro ATX,Socket FM2+,
btd-040402,S2881G2NR,S2881G2NR AMD Tyan Thunder Server Motherboard AMD Chipset Socket PGA-940 2 x Processor Support (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Brand/AMD Motherboards,151.49,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> AMD</li><li><strong>Manufacturer Part # :</strong> S2881G2NR</li><li><strong>Product Type :</strong> Server Motherboard</li><li><strong>Form Factor :</strong> SSI EEB</li><li><strong>CPU Socket Type :</strong> Socket 940</li><li><strong>Supported CPU(s) :</strong> AMD Opteron Processor</li><li><strong>Chipset :</strong> AMD 8111</li><li><strong>South Bridge Chipset :</strong> AMD 8131</li><li><strong>Expansion Slots :</strong> PCIPCI-X</li><li><strong>Storage Controller :</strong> SATA 1.5 Gbps</li><li><strong>Network :</strong> Gigabit Ethernet</li><li><strong>Connectors/Ports :</strong> ParallelPS/2 KeyboardPS/2 MouseRJ-45USBVGA</li></ul>",<ul> <li><strong>Part No. :</strong> S2881G2NR</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> AMD</li> ,,"Catalog, Search",Taxable Goods,S2881G2NR AMD Tyan Thunder Server Motherboard AMD Chipset So,,,btd-040402.jpeg,btd-040402.jpeg,btd-040402.jpeg,AMD,SSI EEB,Socket 940,
btd-040403,APH560G77C2G,APH560G77C2G Gigabyte MA770T-UD3 Socket AM3 AMD 770 + SB710 Chipset AMD Phenom II/ AMD Athlon II Processors Support DDR3 4x DIMM 6x SATA 3.0Gb/s ATX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Brand/AMD Motherboards,263.37,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> AMD</li><li><strong>Manufacturer Part # :</strong> APH560G77C2G</li><li><strong>Product Type :</strong> System Board</li><li><strong>Form Factor :</strong> ATX</li><li><strong>Supported CPU(s) :</strong> AMD Athlon II ProcessorAMD Phenom II Processor</li><li><strong>Chipset :</strong> AMD 770</li><li><strong>South Bridge Chipset :</strong> AMD SB710</li><li><strong>Number of Memory Slot(s) :</strong> 4</li><li><strong>Number of Memory Channel(s) :</strong> 2</li><li><strong>Supported Memory Standard(s) :</strong> PC3-10600 (DDR3-1333)PC3-12800 (DDR3-1600)PC3-8500 (DDR3-1066)</li><li><strong>Maximum Installed Memory :</strong> 16 GB</li><li><strong>Expansion Slots :</strong> PCI-E x1PCI-E x16</li><li><strong>Storage Controller :</strong> SATA 3.0 Gbps</li><li><strong>Audio Controller :</strong> Realtek ALC888</li><li><strong>Network :</strong> Gigabit Ethernet</li><li><strong>Connectors/Ports :</strong> 8-pin 12V Power ConnectorAudio-InAudio-OutChassis Fan ConnectorCOMCPU Fan ConnectorPS/2 KeyboardPS/2 MouseRJ-45USB 1.1USB 2.0</li><li><strong>Connectors/Ports Details :</strong> Internal I/O Connectors1 x 24-pin ATX main power connector1 x 8-pin ATX 12V power connector1 x floppy disk drive connector1 x IDE connector6 x SATA 3Gb/s connectors1 x CPU fan header2 x system fan headers1 x power fan header1 x front panel header1 x front panel audio header1 x CD In connector1 x S/PDIF In header1 x S/PDIF Out header2 x USB 2.0/1.1 headers1 x IEEE 1394a header1 x parallel port header1 x serial port header1 x power LED header1 x chassis intrusion headerBack Panel Connectors1 x PS/2 keyboard port1 x PS/2 mouse port1 x coaxial S/PDIF Out connector1 x optical S/PDIF Out connector8 x USB 2.0/1.1 ports2 x IEEE 1394a ports1 x RJ-45 port6 x audio jacks (Center/Subwoofer Speaker Out/Rear Speaker Out/Side Speaker Out/Line In/Line Out/Microphone)</li></ul>",<ul> <li><strong>Part No. :</strong> APH560G77C2G</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> AMD</li> ,,"Catalog, Search",Taxable Goods,APH560G77C2G Gigabyte MA770T-UD3 Socket AM3 AMD 770 + SB710 ,,,btd-040403.jpeg,btd-040403.jpeg,btd-040403.jpeg,AMD,ATX,,
btd-040404,M6900199,M6900199 AMD Socket FM2+ Micro AMD A58 Chipset Micro-ATX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Brand/AMD Motherboards,167.95,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> AMD</li><li><strong>Manufacturer Part # :</strong> M6900199</li><li><strong>Product Type :</strong> System Board</li><li><strong>Form Factor :</strong> Micro ATX</li><li><strong>CPU Socket Type :</strong> Socket FM2+</li><li><strong>Chipset :</strong> AMD A58</li></ul>",<ul> <li><strong>Part No. :</strong> M6900199</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> AMD</li> ,,"Catalog, Search",Taxable Goods,M6900199 AMD Socket FM2+ Micro AMD A58 Chipset Micro-ATX Mot,,,btd-040404.jpeg,btd-040404.jpeg,btd-040404.jpeg,AMD,Micro ATX,Socket FM2+,
btd-040405,B5LD2TVM,B5LD2TVM ASUS Intel 945G Chipset Pentium 4/ Pentium D/ Celeron D Processors Support Socket LGA 775 uBTX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Brand/Asus Motherboards,118.64,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> ASUS</li><li><strong>Manufacturer Part # :</strong> B5LD2TVM</li><li><strong>CPU Socket Type :</strong> LGA 775</li></ul>",<ul> <li><strong>Part No. :</strong> B5LD2TVM</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> ASUS</li> ,,"Catalog, Search",Taxable Goods,B5LD2TVM ASUS Intel 945G Chipset Pentium 4/ Pentium D/ Celer,,,btd-040405.jpeg,btd-040405.jpeg,btd-040405.jpeg,ASUS,,LGA 775,
btd-040406,PI-P55TP4XE,PI-P55TP4XE ASUS Intel 82430 FX Chipset Socket 7 Rev2.4 Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Brand/Asus Motherboards,117.37,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> ASUS</li><li><strong>Manufacturer Part # :</strong> PI-P55TP4XE</li><li><strong>CPU Socket Type :</strong> Socket 7</li></ul>",<ul> <li><strong>Part No. :</strong> PI-P55TP4XE</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> ASUS</li> ,,"Catalog, Search",Taxable Goods,PI-P55TP4XE ASUS Intel 82430 FX Chipset Socket 7 Rev2.4 Moth,,,btd-040406.jpeg,btd-040406.jpeg,btd-040406.jpeg,ASUS,,Socket 7,
btd-040407,90-MIBAJ0-G0EAY0KZ,90-MIBAJ0-G0EAY0KZ ASUS Socket AM3 AMD 790X + SB750 Chipset AMD Phenom II/ Athlon II Sempron 100 Series Processors Support DDR3 4x DIMM 6x SATA 3.0Gb/s ATX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Brand/Asus Motherboards,116.22,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> ASUS</li><li><strong>Manufacturer Part # :</strong> 90-MIBAJ0-G0EAY0KZ</li><li><strong>CPU Socket Type :</strong> Socket AM3</li></ul>",<ul> <li><strong>Part No. :</strong> 90-MIBAJ0-G0EAY0KZ</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> ASUS</li> ,,"Catalog, Search",Taxable Goods,90-MIBAJ0-G0EAY0KZ ASUS Socket AM3 AMD 790X + SB750 Chipset ,,,btd-040407.jpeg,btd-040407.jpeg,btd-040407.jpeg,ASUS,,Socket AM3,
btd-040408,KFSN4-DRE/2S,KFSN4-DRE/2S Asus KFSN4-DRE Socket F Nvidia NForce Professional 2200 Chipset Dual-Core Opteron/ Opteron 2000 Series Processors Support DDR2 16x DIMM 4x SATA 3.0Gb/s SSI EEB Server Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Brand/Asus Motherboards,465.66,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> ASUS</li><li><strong>Manufacturer Part # :</strong> KFSN4-DRE/2S</li><li><strong>Product Type :</strong> Server Motherboard</li><li><strong>Form Factor :</strong> SSI EEB</li><li><strong>CPU Socket Type :</strong> Socket F (1207)</li><li><strong>Supported CPU(s) :</strong> AMD Opteron Processor</li><li><strong>Chipset :</strong> NVIDIA nForce Professional 2200</li><li><strong>Number of Memory Slot(s) :</strong> 16</li><li><strong>Number of Memory Channel(s) :</strong> 2</li><li><strong>Supported Memory Standard(s) :</strong> PC2-4200 (DDR2-533)PC2-5300 (DDR2-667)PC2-6400 (DDR2-800)</li><li><strong>Maximum Installed Memory :</strong> 4 GB</li><li><strong>Expansion Slots :</strong> PCIPCI-E x16PCI-X</li><li><strong>Storage Controller :</strong> SATA 3.0 Gbps</li><li><strong>Network :</strong> Gigabit Ethernet</li><li><strong>Connectors/Ports :</strong> 24-pin ATX Power Connector8-pin 12V Power ConnectorChassis Fan ConnectorRJ-45SerialUSBVGA</li></ul>",<ul> <li><strong>Part No. :</strong> KFSN4-DRE/2S</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> ASUS</li> ,,"Catalog, Search",Taxable Goods,KFSN4-DRE/2S Asus KFSN4-DRE Socket F Nvidia NForce Professio,,,btd-040408.jpeg,btd-040408.jpeg,btd-040408.jpeg,ASUS,SSI EEB,Socket F (1207),
btd-040409,90-MIB9I0-G0EAY00Z,90-MIB9I0-G0EAY00Z ASUS P7P55D Premium Socket LGA 1156 Intel P55 Express Chipset Core i7 / i5 Processors Support DDR3 4x DIMM 6x SATA 3.0 Gb/s ATX Motherboard (Refurbished),base,Default,simple,,Used,Default Category/hard_drive/Motherboard by Brand/Asus Motherboards,268.19,5,1,"Specifications:
 <ul><li><strong>Manufacturer :</strong> ASUS</li><li><strong>Manufacturer Part # :</strong> 90-MIB9I0-G0EAY00Z</li><li><strong>Product Type :</strong> System Board</li><li><strong>Form Factor :</strong> ATX</li><li><strong>CPU Socket Type :</strong> LGA 1156</li><li><strong>Supported CPU(s) :</strong> Intel Core i5 ProcessorIntel Core i7 Processor</li><li><strong>Supported CPU Technologies :</strong> Intel Turbo Boost Technology</li><li><strong>Chipset :</strong> Intel P55 Express</li><li><strong>Number of Memory Slot(s) :</strong> 4</li><li><strong>Number of Memory Channel(s) :</strong> 2</li><li><strong>Supported Memory Standard(s) :</strong> PC3-10600 (DDR3-1333)PC3-12800 (DDR3-1600)PC3-8500 (DDR3-1066)</li><li><strong>Maximum Installed Memory :</strong> 16 GB</li><li><strong>Expansion Slots :</strong> PCIPCI-E 2.0 x1PCI-E 2.0 x16</li><li><strong>Expansion Slots Details :</strong> 2 x PCIe 2.0 x16 (single at x16 or dual at x8/x8 mode)2 x PCIe 2.0 x1 (2.5GT/s)2 x PCI</li><li><strong>Storage Controller :</strong> SATA 3.0 GbpsSATA 6.0 Gbps</li><li><strong>Audio Controller :</strong> VIA VT2020</li><li><strong>Network :</strong> Gigabit Ethernet</li><li><strong>Connectors/Ports :</strong> Audio-InChassis Fan ConnectorCPU Fan ConnectorPS/2 KeyboardPS/2 MouseRJ-45USB 1.1USB 2.0</li><li><strong>Connectors/Ports Details :</strong> Back Panel I/O Ports1 x IEEE 1394a2 x LAN(RJ45) port8 x USB 2.0/1.110 -Channel Audio I/O1 x PS/2 Keyboard port (Purple)1 x PS/2 mouse port (Green)1 x Coaxial S/PDIF Output1 x Optical S/PDIF Output1 x Clear CMOS switchInternal I/O Connectors2 x USB connectors support additional 4 USB ports1 x IDE connector1 x TPM connector1 x IEEE 1394a connector1 x CPU Fan connector1 x Power Fan connector1 x COM connector6 x SATA 3.0Gb/s connectors (blue)2 x SATA 6.0Gb/s connectors (gray)2 x Chassis Fan connector (1x4-pin, 1x3-pin)Front panel audio connector1 x S/PDIF Out Header1 x CD audio in1 x 24-pin ATX Power connector1 x 8-pin ATX 12V Power connectorSystem Panel(Q-Connector)1 x TURBO_CON header (for TurboV Remote)1 x MemOK! button1 x Power on switch1 x Reset switch</li></ul>",<ul> <li><strong>Part No. :</strong> 90-MIB9I0-G0EAY00Z</li>   <li><strong>Product Type:</strong> Motherboard</li>  <li><strong>Brand :</strong> ASUS</li> ,,"Catalog, Search",Taxable Goods,90-MIB9I0-G0EAY00Z ASUS P7P55D Premium Socket LGA 1156 Intel,,,btd-040409.jpeg,btd-040409.jpeg,btd-040409.jpeg,ASUS,ATX,LGA 1156,
